property_count,load_time
1 to 249,9.553984404
250 to 499,10.96287227
500 to 699,13.60019445
700 to 899,17.54065967
900 to 999,18.34868097
1000 to 1049,18.3830297
1050 to 1099,19.58990002
1100 to 1149,22.13146472
1150 to 1199,24.835516452789307
1200 to 1249,25.594526290893555
1250 to 1299,25.719788074493408
1300 to 1349,26.33207058906555
1350 to 1399,29.345093727111816
1400 to 1419,31.088404417037964
1420 to 1439,30.716571807861328
1440 to 1459,30.131179571151733
1460 to 1479,30.706339597702026
1480 to 1499,34.89778161048889
1500 to 1519,32.188817262649536
1520 to 1539,35.567320346832275
1540 to 1559,38.70375180244446
1560 to 1579,37.631555795669556
1580 to 1599,37.039883613586426
1600 to 1619,37.78454041481018
1620 to 1639,37.00531244277954
1640 to 1659,53.82291626930237
1660 to 1679,40.688127279281616
1680 to 1699,37.7448365688324
1700 to 1719,45.29642677307129
1720 to 1739,38.36641192436218
1740 to 1759,41.0589485168457
1760 to 1779,42.85171318054199
1780 to 1799,46.36918830871582
1800 to 1819,45.36754298210144
1820 to 1839,41.461045265197754
1840 to 1859,41.98821759223938
1860 to 1879,43.21182179450989
1880 to 1899,48.02803635597229
1900 to 1919,208.22907996177673
1920 to 1939,210.0919578075409
1940 to 1959,288.7482841014862
1960 to 1979,220.06601190567017
1980 to 1999,189.48895287513733
