external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_CaaPM,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_CaaPM,HH_CaaPM,2021-08-30,urban
HH_o5DtG,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_o5DtG,HH_o5DtG,2020-10-10,urban
HH_7CjFT,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_7CjFT,HH_7CjFT,2020-09-01,rural
HH_bYHMM,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_bYHMM,HH_bYHMM,2021-06-03,urban
HH_htM44,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_htM44,HH_htM44,2020-09-27,urban
HH_kfskh,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_kfskh,HH_kfskh,2020-12-05,rural
HH_l5TGA,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_l5TGA,HH_l5TGA,2021-06-13,rural
HH_xyMLA,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_xyMLA,HH_xyMLA,2021-03-26,rural
HH_43rnM,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_43rnM,HH_43rnM,2021-03-01,rural
HH_rbilj,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_rbilj,HH_rbilj,2020-09-06,rural
HH_9c0Eo,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_9c0Eo,HH_9c0Eo,2021-05-11,urban
HH_NBma2,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_NBma2,HH_NBma2,2021-07-05,urban
HH_F75xU,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_F75xU,HH_F75xU,2021-06-18,rural
HH_8vkMA,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_8vkMA,HH_8vkMA,2021-08-28,rural
HH_w169m,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_w169m,HH_w169m,2020-10-04,urban
HH_hBsry,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_hBsry,HH_hBsry,2021-08-26,urban
HH_52nUy,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_52nUy,HH_52nUy,2021-03-23,rural
HH_ot4io,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_ot4io,HH_ot4io,2021-04-02,rural
HH_Ojhgz,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_Ojhgz,HH_Ojhgz,2020-11-20,urban
HH_dHKvs,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_dHKvs,HH_dHKvs,2021-01-02,urban
HH_rr1su,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_rr1su,HH_rr1su,2020-12-06,rural
HH_377vg,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_377vg,HH_377vg,2021-02-13,rural
HH_isOyS,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_isOyS,HH_isOyS,2021-08-31,rural
HH_oqvhO,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_oqvhO,HH_oqvhO,2021-02-23,urban
HH_oLMeo,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_oLMeo,HH_oLMeo,2020-12-03,urban
HH_Lzx29,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_Lzx29,HH_Lzx29,2020-11-05,rural
HH_wwW8n,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_wwW8n,HH_wwW8n,2021-07-30,urban
HH_k5q0Y,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_k5q0Y,HH_k5q0Y,2020-11-07,urban
HH_YUdbl,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_YUdbl,HH_YUdbl,2021-05-11,urban
HH_kJGSW,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_kJGSW,HH_kJGSW,2020-09-12,rural
HH_LOy6x,04ee991065ec4896b701801c71dbf813,04ee991065ec4896b701801c71dbf813,HH_LOy6x,HH_LOy6x,2021-07-14,rural
