external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_dMMCW,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_dMMCW,HH_dMMCW,2020-11-14,rural
HH_mPius,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_mPius,HH_mPius,2020-12-19,rural
HH_hXFmq,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_hXFmq,HH_hXFmq,2021-07-10,urban
HH_AjTAT,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_AjTAT,HH_AjTAT,2021-07-04,urban
HH_xuEQl,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_xuEQl,HH_xuEQl,2021-07-07,urban
HH_nlndU,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_nlndU,HH_nlndU,2020-09-24,urban
HH_ohvOQ,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_ohvOQ,HH_ohvOQ,2021-06-05,rural
HH_aklOu,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_aklOu,HH_aklOu,2020-10-13,urban
HH_FVspJ,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_FVspJ,HH_FVspJ,2021-07-27,urban
HH_2Yw1Q,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_2Yw1Q,HH_2Yw1Q,2021-04-19,urban
HH_vgVB1,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_vgVB1,HH_vgVB1,2021-05-25,urban
HH_lGYlG,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_lGYlG,HH_lGYlG,2020-11-09,urban
HH_1jdNA,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_1jdNA,HH_1jdNA,2021-05-24,rural
HH_8kPqQ,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_8kPqQ,HH_8kPqQ,2020-12-04,urban
HH_Z4eN8,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_Z4eN8,HH_Z4eN8,2020-11-05,urban
HH_r9WCr,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_r9WCr,HH_r9WCr,2021-04-22,rural
HH_efiDb,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_efiDb,HH_efiDb,2021-06-14,urban
HH_aONKH,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_aONKH,HH_aONKH,2020-09-16,rural
HH_cQdkG,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_cQdkG,HH_cQdkG,2021-06-29,urban
HH_fElPJ,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_fElPJ,HH_fElPJ,2021-04-03,urban
HH_7TT9U,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_7TT9U,HH_7TT9U,2020-12-11,urban
HH_FM4Ys,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_FM4Ys,HH_FM4Ys,2021-03-15,urban
HH_SAiXa,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_SAiXa,HH_SAiXa,2020-12-17,rural
HH_hMGiU,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_hMGiU,HH_hMGiU,2020-10-15,rural
HH_JSKAa,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_JSKAa,HH_JSKAa,2021-05-09,urban
HH_Xg33v,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_Xg33v,HH_Xg33v,2021-03-13,urban
HH_bVssY,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_bVssY,HH_bVssY,2020-10-04,urban
HH_ATM1i,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_ATM1i,HH_ATM1i,2021-02-26,rural
HH_VaVBI,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_VaVBI,HH_VaVBI,2021-05-14,rural
HH_mS8p0,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_mS8p0,HH_mS8p0,2021-01-11,rural
HH_knK9F,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_knK9F,HH_knK9F,2021-03-05,rural
HH_hsRCQ,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_hsRCQ,HH_hsRCQ,2021-03-18,rural
HH_8nmWN,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_8nmWN,HH_8nmWN,2021-07-18,urban
HH_BmXv8,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_BmXv8,HH_BmXv8,2020-10-03,rural
HH_Wyd2P,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_Wyd2P,HH_Wyd2P,2020-09-12,urban
HH_6PNkY,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_6PNkY,HH_6PNkY,2020-09-08,urban
HH_1Ir4g,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_1Ir4g,HH_1Ir4g,2021-02-10,urban
HH_3yvej,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_3yvej,HH_3yvej,2021-03-08,rural
HH_hCNJ4,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_hCNJ4,HH_hCNJ4,2021-01-08,urban
HH_PPrX3,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_PPrX3,HH_PPrX3,2021-01-06,urban
HH_g8ffl,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_g8ffl,HH_g8ffl,2021-05-20,rural
HH_GDgSb,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_GDgSb,HH_GDgSb,2021-05-09,urban
HH_EWXrf,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_EWXrf,HH_EWXrf,2020-12-07,rural
HH_NFzIw,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_NFzIw,HH_NFzIw,2021-04-18,rural
HH_PoEhL,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_PoEhL,HH_PoEhL,2020-11-05,urban
HH_mIyU7,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_mIyU7,HH_mIyU7,2020-10-16,urban
HH_pYK9w,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_pYK9w,HH_pYK9w,2021-03-10,urban
HH_Rauwq,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_Rauwq,HH_Rauwq,2021-07-05,rural
HH_nhGw2,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_nhGw2,HH_nhGw2,2021-03-28,urban
HH_ogZJP,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_ogZJP,HH_ogZJP,2021-02-23,rural
HH_h5FSP,0e383cb2ef7542c9baaa9badca7de43d,0e383cb2ef7542c9baaa9badca7de43d,HH_h5FSP,HH_h5FSP,2020-09-11,rural
