external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_SkyMe,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_SkyMe,HH_SkyMe,2021-04-14,urban
HH_6BsQn,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_6BsQn,HH_6BsQn,2021-06-15,rural
HH_XXqH8,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_XXqH8,HH_XXqH8,2020-10-09,urban
HH_tnCC3,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_tnCC3,HH_tnCC3,2020-12-16,urban
HH_A0STR,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_A0STR,HH_A0STR,2021-05-07,rural
HH_n7dJD,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_n7dJD,HH_n7dJD,2021-03-04,rural
HH_zC5JN,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_zC5JN,HH_zC5JN,2020-11-29,rural
HH_8nidN,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_8nidN,HH_8nidN,2021-03-21,urban
HH_flkF4,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_flkF4,HH_flkF4,2020-12-18,urban
HH_PB0VD,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_PB0VD,HH_PB0VD,2020-12-09,urban
HH_KT5on,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_KT5on,HH_KT5on,2020-12-20,urban
HH_0HK5w,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_0HK5w,HH_0HK5w,2021-03-26,rural
HH_Vv63c,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_Vv63c,HH_Vv63c,2020-11-19,rural
HH_i0Lij,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_i0Lij,HH_i0Lij,2020-11-06,urban
HH_n0lkD,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_n0lkD,HH_n0lkD,2020-11-30,rural
HH_IR0uX,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_IR0uX,HH_IR0uX,2021-05-13,rural
HH_S50me,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_S50me,HH_S50me,2021-07-20,rural
HH_AC0tg,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_AC0tg,HH_AC0tg,2021-02-02,urban
HH_RchFg,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_RchFg,HH_RchFg,2020-09-10,urban
HH_gdsF9,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_gdsF9,HH_gdsF9,2021-02-07,urban
HH_h3enA,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_h3enA,HH_h3enA,2021-04-26,rural
HH_tobRC,137c2116bce7476d901f138e34b1053b,137c2116bce7476d901f138e34b1053b,HH_tobRC,HH_tobRC,2021-05-09,rural
