external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_RtdJl,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_RtdJl,HH_RtdJl,2020-09-04,urban
HH_DszvK,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_DszvK,HH_DszvK,2020-12-26,rural
HH_dBoHG,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_dBoHG,HH_dBoHG,2020-11-04,urban
HH_yndoK,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_yndoK,HH_yndoK,2020-11-26,rural
HH_bmws3,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_bmws3,HH_bmws3,2021-03-21,urban
HH_NL3GN,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_NL3GN,HH_NL3GN,2020-12-16,urban
HH_xADd0,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_xADd0,HH_xADd0,2020-10-16,rural
HH_4QJL8,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_4QJL8,HH_4QJL8,2021-06-08,rural
HH_kdym4,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_kdym4,HH_kdym4,2020-12-09,rural
HH_b9pdt,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_b9pdt,HH_b9pdt,2020-09-21,rural
HH_juVPu,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_juVPu,HH_juVPu,2021-04-16,urban
HH_JRQCQ,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_JRQCQ,HH_JRQCQ,2020-12-03,urban
HH_CbW8T,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_CbW8T,HH_CbW8T,2020-12-04,rural
HH_h1eC2,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_h1eC2,HH_h1eC2,2021-07-14,urban
HH_D87Fa,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_D87Fa,HH_D87Fa,2021-03-18,urban
HH_02ua4,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_02ua4,HH_02ua4,2020-11-20,rural
HH_TygWz,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_TygWz,HH_TygWz,2020-10-13,rural
HH_hzylD,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_hzylD,HH_hzylD,2021-02-12,rural
HH_xusbr,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_xusbr,HH_xusbr,2021-04-01,urban
HH_sxmSR,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_sxmSR,HH_sxmSR,2020-11-20,urban
HH_Za8s4,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_Za8s4,HH_Za8s4,2021-08-19,urban
HH_u0gao,17665018cb624233ab5f19eeca0d357b,17665018cb624233ab5f19eeca0d357b,HH_u0gao,HH_u0gao,2021-03-22,rural
