external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_YzTXy,1baaebfb7f6e4f38b5b0da756ed81fcd,1baaebfb7f6e4f38b5b0da756ed81fcd,HH_YzTXy,HH_YzTXy,2020-11-24,urban
HH_j3Ezy,1baaebfb7f6e4f38b5b0da756ed81fcd,1baaebfb7f6e4f38b5b0da756ed81fcd,HH_j3Ezy,HH_j3Ezy,2020-10-21,rural
HH_QwRqt,1baaebfb7f6e4f38b5b0da756ed81fcd,1baaebfb7f6e4f38b5b0da756ed81fcd,HH_QwRqt,HH_QwRqt,2020-11-16,rural
HH_bfTcG,1baaebfb7f6e4f38b5b0da756ed81fcd,1baaebfb7f6e4f38b5b0da756ed81fcd,HH_bfTcG,HH_bfTcG,2021-07-07,rural
HH_DUDnZ,1baaebfb7f6e4f38b5b0da756ed81fcd,1baaebfb7f6e4f38b5b0da756ed81fcd,HH_DUDnZ,HH_DUDnZ,2020-10-16,rural
HH_0BqjL,1baaebfb7f6e4f38b5b0da756ed81fcd,1baaebfb7f6e4f38b5b0da756ed81fcd,HH_0BqjL,HH_0BqjL,2020-12-24,rural
HH_XlKV7,1baaebfb7f6e4f38b5b0da756ed81fcd,1baaebfb7f6e4f38b5b0da756ed81fcd,HH_XlKV7,HH_XlKV7,2021-03-14,rural
HH_Egna3,1baaebfb7f6e4f38b5b0da756ed81fcd,1baaebfb7f6e4f38b5b0da756ed81fcd,HH_Egna3,HH_Egna3,2021-08-01,urban
HH_ETwy5,1baaebfb7f6e4f38b5b0da756ed81fcd,1baaebfb7f6e4f38b5b0da756ed81fcd,HH_ETwy5,HH_ETwy5,2021-08-05,urban
HH_GqKrw,1baaebfb7f6e4f38b5b0da756ed81fcd,1baaebfb7f6e4f38b5b0da756ed81fcd,HH_GqKrw,HH_GqKrw,2020-09-05,urban
HH_o3cv1,1baaebfb7f6e4f38b5b0da756ed81fcd,1baaebfb7f6e4f38b5b0da756ed81fcd,HH_o3cv1,HH_o3cv1,2021-04-28,rural
HH_1C8kN,1baaebfb7f6e4f38b5b0da756ed81fcd,1baaebfb7f6e4f38b5b0da756ed81fcd,HH_1C8kN,HH_1C8kN,2021-07-23,urban
HH_VstIP,1baaebfb7f6e4f38b5b0da756ed81fcd,1baaebfb7f6e4f38b5b0da756ed81fcd,HH_VstIP,HH_VstIP,2021-05-05,urban
HH_nb63a,1baaebfb7f6e4f38b5b0da756ed81fcd,1baaebfb7f6e4f38b5b0da756ed81fcd,HH_nb63a,HH_nb63a,2021-01-18,rural
