external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_EYLqN,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_EYLqN,HH_EYLqN,2021-08-13,urban
HH_St1zw,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_St1zw,HH_St1zw,2020-12-22,rural
HH_yCoEh,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_yCoEh,HH_yCoEh,2021-03-04,urban
HH_rJIlf,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_rJIlf,HH_rJIlf,2021-01-17,urban
HH_piolH,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_piolH,HH_piolH,2021-01-15,rural
HH_Mh3Pl,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_Mh3Pl,HH_Mh3Pl,2021-01-21,rural
HH_3R1mV,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_3R1mV,HH_3R1mV,2021-08-20,rural
HH_MeM0D,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_MeM0D,HH_MeM0D,2020-11-10,urban
HH_SOpFB,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_SOpFB,HH_SOpFB,2021-05-13,urban
HH_Dpfgr,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_Dpfgr,HH_Dpfgr,2021-01-26,urban
HH_hCSre,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_hCSre,HH_hCSre,2021-05-05,urban
HH_Z6Zgm,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_Z6Zgm,HH_Z6Zgm,2021-02-13,rural
HH_hznVg,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_hznVg,HH_hznVg,2021-07-29,rural
HH_CAkCB,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_CAkCB,HH_CAkCB,2021-07-12,urban
HH_FiTCF,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_FiTCF,HH_FiTCF,2020-09-05,urban
HH_OC0iw,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_OC0iw,HH_OC0iw,2020-10-17,rural
HH_GfUmV,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_GfUmV,HH_GfUmV,2021-02-24,urban
HH_XW3tI,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_XW3tI,HH_XW3tI,2021-02-04,urban
HH_Rfk5v,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_Rfk5v,HH_Rfk5v,2020-10-25,rural
HH_0u3gD,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_0u3gD,HH_0u3gD,2020-12-11,rural
HH_WfJDH,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_WfJDH,HH_WfJDH,2021-08-22,urban
HH_eHpTV,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_eHpTV,HH_eHpTV,2021-03-08,rural
HH_JQOGA,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_JQOGA,HH_JQOGA,2021-04-30,urban
HH_Adl5z,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_Adl5z,HH_Adl5z,2021-03-22,urban
HH_PYHeJ,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_PYHeJ,HH_PYHeJ,2021-04-21,urban
HH_cDgpC,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_cDgpC,HH_cDgpC,2021-03-29,urban
HH_USH9k,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_USH9k,HH_USH9k,2021-04-26,urban
HH_XZbi6,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_XZbi6,HH_XZbi6,2021-02-19,urban
HH_hPa0K,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_hPa0K,HH_hPa0K,2021-07-20,urban
HH_qmiMW,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_qmiMW,HH_qmiMW,2021-04-19,urban
HH_ym0Ng,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_ym0Ng,HH_ym0Ng,2021-07-20,urban
HH_W3cqg,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_W3cqg,HH_W3cqg,2020-09-06,urban
HH_dDLLE,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_dDLLE,HH_dDLLE,2021-04-24,urban
HH_Kd3Yv,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_Kd3Yv,HH_Kd3Yv,2021-02-15,urban
HH_TDIj9,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_TDIj9,HH_TDIj9,2021-04-27,urban
HH_Wy9Zb,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_Wy9Zb,HH_Wy9Zb,2021-01-04,urban
HH_jmiW6,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_jmiW6,HH_jmiW6,2021-01-29,rural
HH_XtTo5,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_XtTo5,HH_XtTo5,2021-08-16,urban
HH_wxY0R,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_wxY0R,HH_wxY0R,2021-07-20,urban
HH_Luwby,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_Luwby,HH_Luwby,2020-10-22,rural
HH_GdPi4,1e9ec3ba86084e019227bc5ee072ba2c,1e9ec3ba86084e019227bc5ee072ba2c,HH_GdPi4,HH_GdPi4,2021-01-01,urban
