external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_sFJ1x,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_sFJ1x,HH_sFJ1x,2021-05-12,rural
HH_LOqam,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_LOqam,HH_LOqam,2021-02-15,rural
HH_kus5N,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_kus5N,HH_kus5N,2021-08-18,rural
HH_IC4gC,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_IC4gC,HH_IC4gC,2020-10-29,urban
HH_1RBbU,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_1RBbU,HH_1RBbU,2021-02-25,urban
HH_OORt5,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_OORt5,HH_OORt5,2020-11-16,rural
HH_r2kCy,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_r2kCy,HH_r2kCy,2021-08-06,rural
HH_sRRPj,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_sRRPj,HH_sRRPj,2020-12-19,rural
HH_D4q66,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_D4q66,HH_D4q66,2020-09-15,urban
HH_t4QEg,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_t4QEg,HH_t4QEg,2021-06-09,rural
HH_V4KOV,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_V4KOV,HH_V4KOV,2021-06-10,urban
HH_ZFy9c,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_ZFy9c,HH_ZFy9c,2021-06-25,rural
HH_xdnVw,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_xdnVw,HH_xdnVw,2020-09-11,rural
HH_fDB9T,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_fDB9T,HH_fDB9T,2021-06-13,urban
HH_AxOL4,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_AxOL4,HH_AxOL4,2020-11-22,urban
HH_x0Xte,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_x0Xte,HH_x0Xte,2021-04-14,rural
HH_pd3wA,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_pd3wA,HH_pd3wA,2021-05-10,urban
HH_EtVe0,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_EtVe0,HH_EtVe0,2020-09-26,rural
HH_RjImd,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_RjImd,HH_RjImd,2021-02-22,rural
HH_kaKWR,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_kaKWR,HH_kaKWR,2020-12-19,urban
HH_X9bjD,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_X9bjD,HH_X9bjD,2020-10-15,rural
HH_quR1l,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_quR1l,HH_quR1l,2021-03-08,rural
HH_9Q67P,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_9Q67P,HH_9Q67P,2020-11-13,rural
HH_Cp4zW,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_Cp4zW,HH_Cp4zW,2020-09-26,rural
HH_ieib1,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_ieib1,HH_ieib1,2021-02-23,rural
HH_yF4Tb,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_yF4Tb,HH_yF4Tb,2020-10-20,urban
HH_Zy6o3,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_Zy6o3,HH_Zy6o3,2021-01-10,urban
HH_aM7iv,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_aM7iv,HH_aM7iv,2021-04-25,rural
HH_E9LdG,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_E9LdG,HH_E9LdG,2020-12-21,rural
HH_y72WJ,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_y72WJ,HH_y72WJ,2021-02-08,urban
HH_UOALF,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_UOALF,HH_UOALF,2021-06-22,rural
HH_fzOTh,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_fzOTh,HH_fzOTh,2021-04-26,urban
HH_q7fZa,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_q7fZa,HH_q7fZa,2021-08-27,rural
HH_COBHH,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_COBHH,HH_COBHH,2020-09-19,urban
HH_57eTI,29f8f904b92948ad94a629a534897a7f,29f8f904b92948ad94a629a534897a7f,HH_57eTI,HH_57eTI,2021-03-06,rural
