external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_21dMO,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_21dMO,HH_21dMO,2021-04-29,rural
HH_i1opt,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_i1opt,HH_i1opt,2020-11-10,urban
HH_d7nrf,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_d7nrf,HH_d7nrf,2020-11-23,urban
HH_4iJm3,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_4iJm3,HH_4iJm3,2021-06-08,rural
HH_3PbSz,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_3PbSz,HH_3PbSz,2021-03-03,urban
HH_FqvDB,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_FqvDB,HH_FqvDB,2020-10-01,urban
HH_uBs92,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_uBs92,HH_uBs92,2020-09-08,rural
HH_80XOG,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_80XOG,HH_80XOG,2020-10-19,urban
HH_SxEtM,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_SxEtM,HH_SxEtM,2021-04-18,urban
HH_jsaRB,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_jsaRB,HH_jsaRB,2020-09-22,urban
HH_5vRs7,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_5vRs7,HH_5vRs7,2020-09-29,rural
HH_EK5ZW,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_EK5ZW,HH_EK5ZW,2021-06-18,urban
HH_cMDnz,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_cMDnz,HH_cMDnz,2021-01-08,rural
HH_hEPlo,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_hEPlo,HH_hEPlo,2020-12-05,rural
HH_3SQeV,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_3SQeV,HH_3SQeV,2021-04-08,rural
HH_mH38j,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_mH38j,HH_mH38j,2021-04-11,urban
HH_PEeQM,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_PEeQM,HH_PEeQM,2021-01-25,urban
HH_7D5LE,4695cacd2d6a4d2580be523451dc9908,4695cacd2d6a4d2580be523451dc9908,HH_7D5LE,HH_7D5LE,2020-10-10,urban
