external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_64o8C,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_64o8C,HH_64o8C,2021-06-15,urban
HH_CH12Y,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_CH12Y,HH_CH12Y,2021-07-11,rural
HH_wpMD1,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_wpMD1,HH_wpMD1,2021-06-15,urban
HH_vDs2p,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_vDs2p,HH_vDs2p,2021-08-17,rural
HH_VTHVj,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_VTHVj,HH_VTHVj,2021-07-11,urban
HH_tIngc,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_tIngc,HH_tIngc,2020-09-19,rural
HH_OKRGf,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_OKRGf,HH_OKRGf,2021-08-09,urban
HH_vwr1N,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_vwr1N,HH_vwr1N,2021-04-21,rural
HH_J76xf,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_J76xf,HH_J76xf,2021-04-25,rural
HH_hXsoC,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_hXsoC,HH_hXsoC,2020-10-27,urban
HH_zuXmD,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_zuXmD,HH_zuXmD,2020-10-25,urban
HH_7QGsU,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_7QGsU,HH_7QGsU,2020-12-03,urban
HH_Ur27f,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_Ur27f,HH_Ur27f,2020-11-27,urban
HH_M1rco,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_M1rco,HH_M1rco,2021-04-16,rural
HH_qoFk9,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_qoFk9,HH_qoFk9,2021-02-23,rural
HH_BcDuJ,48d80a3062aa4ef2935b9985ee4526a9,48d80a3062aa4ef2935b9985ee4526a9,HH_BcDuJ,HH_BcDuJ,2021-08-29,urban
