external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_LzBrH,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_LzBrH,HH_LzBrH,2020-11-11,urban
HH_Cx9bQ,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_Cx9bQ,HH_Cx9bQ,2021-04-26,rural
HH_JJSON,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_JJSON,HH_JJSON,2021-03-12,rural
HH_53o6e,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_53o6e,HH_53o6e,2021-02-14,urban
HH_ahQBI,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_ahQBI,HH_ahQBI,2021-01-27,rural
HH_xhynm,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_xhynm,HH_xhynm,2021-04-24,rural
HH_Jn1SB,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_Jn1SB,HH_Jn1SB,2021-07-22,urban
HH_2tfAm,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_2tfAm,HH_2tfAm,2020-11-14,rural
HH_ZDT4T,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_ZDT4T,HH_ZDT4T,2021-08-11,rural
HH_UpXjt,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_UpXjt,HH_UpXjt,2021-08-19,urban
HH_xCZsp,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_xCZsp,HH_xCZsp,2021-05-08,urban
HH_JPOec,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_JPOec,HH_JPOec,2021-08-16,rural
HH_SdbXJ,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_SdbXJ,HH_SdbXJ,2020-10-24,rural
HH_B8fL0,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_B8fL0,HH_B8fL0,2021-04-17,urban
HH_KcF5X,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_KcF5X,HH_KcF5X,2020-09-24,urban
HH_ngWjf,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_ngWjf,HH_ngWjf,2021-03-24,rural
HH_FEWHh,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_FEWHh,HH_FEWHh,2021-08-20,rural
HH_JIxgj,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_JIxgj,HH_JIxgj,2021-02-03,rural
HH_X7kDI,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_X7kDI,HH_X7kDI,2021-08-08,urban
HH_1MRiA,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_1MRiA,HH_1MRiA,2021-05-29,rural
HH_9tfFp,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_9tfFp,HH_9tfFp,2021-02-03,rural
HH_W9Oiz,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_W9Oiz,HH_W9Oiz,2021-07-24,rural
HH_yytYq,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_yytYq,HH_yytYq,2021-01-21,urban
HH_CsL8L,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_CsL8L,HH_CsL8L,2020-12-27,urban
HH_bUikR,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_bUikR,HH_bUikR,2021-07-27,urban
HH_ZleZK,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_ZleZK,HH_ZleZK,2020-11-28,rural
HH_HcWm5,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_HcWm5,HH_HcWm5,2020-12-27,urban
HH_slYWB,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_slYWB,HH_slYWB,2021-01-29,rural
HH_LgLcm,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_LgLcm,HH_LgLcm,2021-03-23,urban
HH_H1qjO,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_H1qjO,HH_H1qjO,2021-01-25,rural
HH_hq5Pf,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_hq5Pf,HH_hq5Pf,2021-07-24,urban
HH_xuDCT,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_xuDCT,HH_xuDCT,2020-11-09,rural
HH_8beFq,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_8beFq,HH_8beFq,2020-11-23,urban
HH_Wgza3,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_Wgza3,HH_Wgza3,2020-09-25,rural
HH_JWMHg,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_JWMHg,HH_JWMHg,2021-07-02,rural
HH_kjbXt,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_kjbXt,HH_kjbXt,2020-10-09,rural
HH_R0yL1,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_R0yL1,HH_R0yL1,2021-05-05,urban
HH_bbefZ,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_bbefZ,HH_bbefZ,2021-08-04,rural
HH_WAJgz,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_WAJgz,HH_WAJgz,2021-05-09,urban
HH_ucjO4,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_ucjO4,HH_ucjO4,2021-07-18,urban
HH_IyTK3,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_IyTK3,HH_IyTK3,2020-12-10,urban
HH_RQNb6,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_RQNb6,HH_RQNb6,2021-01-26,urban
HH_dVj0X,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_dVj0X,HH_dVj0X,2020-09-06,rural
HH_AccNk,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_AccNk,HH_AccNk,2021-08-10,rural
HH_Oykrh,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_Oykrh,HH_Oykrh,2020-11-26,urban
HH_RNzp6,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_RNzp6,HH_RNzp6,2020-12-16,urban
HH_8IQ7b,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_8IQ7b,HH_8IQ7b,2020-09-21,rural
HH_upOGh,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_upOGh,HH_upOGh,2020-12-24,urban
HH_B0CKn,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_B0CKn,HH_B0CKn,2021-07-15,urban
HH_Iy7QN,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_Iy7QN,HH_Iy7QN,2020-09-29,rural
HH_PGkBk,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_PGkBk,HH_PGkBk,2021-02-08,urban
HH_Puf7P,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_Puf7P,HH_Puf7P,2021-04-11,urban
HH_J0PM9,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_J0PM9,HH_J0PM9,2020-09-12,rural
HH_BzID0,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_BzID0,HH_BzID0,2020-10-03,rural
HH_h7iCe,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_h7iCe,HH_h7iCe,2020-09-15,urban
HH_2uA04,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_2uA04,HH_2uA04,2020-10-19,rural
HH_1Fqmz,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_1Fqmz,HH_1Fqmz,2020-09-10,urban
HH_hb1kK,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_hb1kK,HH_hb1kK,2021-02-17,rural
HH_jtnIV,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_jtnIV,HH_jtnIV,2020-10-05,rural
HH_tHoPo,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_tHoPo,HH_tHoPo,2020-12-16,urban
HH_PchCY,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_PchCY,HH_PchCY,2020-12-13,urban
HH_YyunI,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_YyunI,HH_YyunI,2021-05-22,rural
HH_s6ofb,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_s6ofb,HH_s6ofb,2021-01-22,urban
HH_zXU5q,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_zXU5q,HH_zXU5q,2020-10-13,urban
HH_eqYx7,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_eqYx7,HH_eqYx7,2021-08-09,urban
HH_n12ct,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_n12ct,HH_n12ct,2021-03-16,urban
HH_bqbDm,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_bqbDm,HH_bqbDm,2021-04-12,rural
HH_1VkP2,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_1VkP2,HH_1VkP2,2021-04-12,rural
HH_1hx6N,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_1hx6N,HH_1hx6N,2020-12-24,urban
HH_dVi9u,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_dVi9u,HH_dVi9u,2021-04-19,urban
HH_omgQ8,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_omgQ8,HH_omgQ8,2020-12-28,urban
HH_GQRLG,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_GQRLG,HH_GQRLG,2021-03-30,rural
HH_eKavw,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_eKavw,HH_eKavw,2021-01-31,urban
HH_tJYdX,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_tJYdX,HH_tJYdX,2020-09-19,rural
HH_jFPNH,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_jFPNH,HH_jFPNH,2021-01-14,rural
HH_oCPsF,4ea48bd297244611ae26e172d56d4fae,4ea48bd297244611ae26e172d56d4fae,HH_oCPsF,HH_oCPsF,2021-05-22,urban
