external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_qUAt1,4f07627c5e4b469198636cf337cd84db,4f07627c5e4b469198636cf337cd84db,HH_qUAt1,HH_qUAt1,2021-06-05,urban
HH_Yu94X,4f07627c5e4b469198636cf337cd84db,4f07627c5e4b469198636cf337cd84db,HH_Yu94X,HH_Yu94X,2021-08-23,urban
HH_Dac8L,4f07627c5e4b469198636cf337cd84db,4f07627c5e4b469198636cf337cd84db,HH_Dac8L,HH_Dac8L,2021-07-11,urban
HH_lxv71,4f07627c5e4b469198636cf337cd84db,4f07627c5e4b469198636cf337cd84db,HH_lxv71,HH_lxv71,2021-07-22,urban
HH_5m5Pn,4f07627c5e4b469198636cf337cd84db,4f07627c5e4b469198636cf337cd84db,HH_5m5Pn,HH_5m5Pn,2021-05-03,rural
HH_2uzQd,4f07627c5e4b469198636cf337cd84db,4f07627c5e4b469198636cf337cd84db,HH_2uzQd,HH_2uzQd,2021-06-13,urban
HH_CIMc5,4f07627c5e4b469198636cf337cd84db,4f07627c5e4b469198636cf337cd84db,HH_CIMc5,HH_CIMc5,2020-09-23,urban
HH_zGzJS,4f07627c5e4b469198636cf337cd84db,4f07627c5e4b469198636cf337cd84db,HH_zGzJS,HH_zGzJS,2021-06-25,rural
HH_bz5WG,4f07627c5e4b469198636cf337cd84db,4f07627c5e4b469198636cf337cd84db,HH_bz5WG,HH_bz5WG,2021-01-24,urban
HH_IKVSh,4f07627c5e4b469198636cf337cd84db,4f07627c5e4b469198636cf337cd84db,HH_IKVSh,HH_IKVSh,2021-08-19,urban
HH_nko6G,4f07627c5e4b469198636cf337cd84db,4f07627c5e4b469198636cf337cd84db,HH_nko6G,HH_nko6G,2021-02-06,urban
HH_UEFHW,4f07627c5e4b469198636cf337cd84db,4f07627c5e4b469198636cf337cd84db,HH_UEFHW,HH_UEFHW,2021-03-21,urban
