external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_mb98Z,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_mb98Z,HH_mb98Z,2020-11-11,urban
HH_kmGWF,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_kmGWF,HH_kmGWF,2020-12-11,urban
HH_TQryc,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_TQryc,HH_TQryc,2021-01-07,rural
HH_n7RZ3,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_n7RZ3,HH_n7RZ3,2021-03-25,urban
HH_f2Psa,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_f2Psa,HH_f2Psa,2021-07-16,rural
HH_mVdlI,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_mVdlI,HH_mVdlI,2020-09-29,urban
HH_0mf0k,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_0mf0k,HH_0mf0k,2021-08-27,rural
HH_gOd4A,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_gOd4A,HH_gOd4A,2021-04-03,urban
HH_8X0vX,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_8X0vX,HH_8X0vX,2020-09-13,urban
HH_cMOl3,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_cMOl3,HH_cMOl3,2021-07-12,rural
HH_Xu5Gy,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_Xu5Gy,HH_Xu5Gy,2020-09-16,rural
HH_wFC1f,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_wFC1f,HH_wFC1f,2021-07-20,urban
HH_ulwPX,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_ulwPX,HH_ulwPX,2021-07-13,urban
HH_f7x3V,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_f7x3V,HH_f7x3V,2020-11-21,urban
HH_FeOXX,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_FeOXX,HH_FeOXX,2021-02-14,rural
HH_MAqx4,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_MAqx4,HH_MAqx4,2020-12-15,urban
HH_vKhQt,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_vKhQt,HH_vKhQt,2021-03-09,rural
HH_zFQa5,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_zFQa5,HH_zFQa5,2020-11-12,urban
HH_NT9Ad,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_NT9Ad,HH_NT9Ad,2021-07-21,urban
HH_pjNdh,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_pjNdh,HH_pjNdh,2020-10-13,rural
HH_CWSxK,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_CWSxK,HH_CWSxK,2021-07-25,urban
HH_VsPHj,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_VsPHj,HH_VsPHj,2021-04-22,rural
HH_yinNV,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_yinNV,HH_yinNV,2020-11-23,rural
HH_Fwbw9,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_Fwbw9,HH_Fwbw9,2021-04-07,urban
HH_7M9vO,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_7M9vO,HH_7M9vO,2021-01-23,urban
HH_RowI0,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_RowI0,HH_RowI0,2021-08-15,urban
HH_ZVjUd,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_ZVjUd,HH_ZVjUd,2020-11-20,urban
HH_WKImf,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_WKImf,HH_WKImf,2021-05-20,rural
HH_vM8ue,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_vM8ue,HH_vM8ue,2020-10-06,urban
HH_zEvqY,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_zEvqY,HH_zEvqY,2020-10-26,urban
HH_WyDta,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_WyDta,HH_WyDta,2020-10-15,urban
HH_1JD5z,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_1JD5z,HH_1JD5z,2021-04-20,rural
HH_SOZ1M,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_SOZ1M,HH_SOZ1M,2020-12-23,rural
HH_6wdQe,544015df17f34744bf055021545448bd,544015df17f34744bf055021545448bd,HH_6wdQe,HH_6wdQe,2020-10-30,urban
