external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_Upvra,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_Upvra,HH_Upvra,2021-05-04,urban
HH_LPbHk,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_LPbHk,HH_LPbHk,2020-09-28,urban
HH_VIVCF,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_VIVCF,HH_VIVCF,2020-09-18,rural
HH_Wk9tI,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_Wk9tI,HH_Wk9tI,2020-09-15,rural
HH_Rzvgs,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_Rzvgs,HH_Rzvgs,2021-06-16,rural
HH_mzjS8,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_mzjS8,HH_mzjS8,2021-03-31,rural
HH_r86z7,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_r86z7,HH_r86z7,2021-04-25,rural
HH_suumr,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_suumr,HH_suumr,2021-02-24,urban
HH_xkE8s,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_xkE8s,HH_xkE8s,2021-03-03,urban
HH_O3BnE,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_O3BnE,HH_O3BnE,2021-01-27,rural
HH_qNoIP,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_qNoIP,HH_qNoIP,2021-05-22,rural
HH_jBluq,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_jBluq,HH_jBluq,2020-12-15,urban
HH_C5kLb,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_C5kLb,HH_C5kLb,2021-04-26,urban
HH_1XA3g,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_1XA3g,HH_1XA3g,2021-04-22,rural
HH_UIJOq,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_UIJOq,HH_UIJOq,2021-05-10,urban
HH_IXU7T,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_IXU7T,HH_IXU7T,2021-04-07,rural
HH_1FRXV,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_1FRXV,HH_1FRXV,2020-09-23,rural
HH_vVGgP,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_vVGgP,HH_vVGgP,2021-08-24,urban
HH_wsv7I,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_wsv7I,HH_wsv7I,2021-08-12,urban
HH_CHQhs,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_CHQhs,HH_CHQhs,2020-12-08,rural
HH_cMx06,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_cMx06,HH_cMx06,2021-07-23,urban
HH_sArkY,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_sArkY,HH_sArkY,2021-04-27,urban
HH_Z9oQY,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_Z9oQY,HH_Z9oQY,2020-12-26,rural
HH_HrBzw,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_HrBzw,HH_HrBzw,2021-05-15,urban
HH_xYD4p,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_xYD4p,HH_xYD4p,2021-03-19,rural
HH_pC2d4,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_pC2d4,HH_pC2d4,2021-06-04,rural
HH_uQE1W,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_uQE1W,HH_uQE1W,2021-04-21,urban
HH_FgNnG,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_FgNnG,HH_FgNnG,2020-09-29,rural
HH_dFpBW,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_dFpBW,HH_dFpBW,2021-07-11,urban
HH_bX01E,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_bX01E,HH_bX01E,2021-04-11,urban
HH_4vc8Z,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_4vc8Z,HH_4vc8Z,2020-11-03,urban
HH_7MBdF,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_7MBdF,HH_7MBdF,2021-04-24,rural
HH_Sn47Y,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_Sn47Y,HH_Sn47Y,2021-05-15,rural
HH_Fu3jq,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_Fu3jq,HH_Fu3jq,2021-05-24,urban
HH_CIhLL,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_CIhLL,HH_CIhLL,2020-09-21,urban
HH_TSY0e,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_TSY0e,HH_TSY0e,2021-02-09,urban
HH_7lJnQ,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_7lJnQ,HH_7lJnQ,2021-05-17,urban
HH_a1AeQ,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_a1AeQ,HH_a1AeQ,2020-10-06,urban
HH_MJ2QI,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_MJ2QI,HH_MJ2QI,2021-05-21,urban
HH_tJfUW,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_tJfUW,HH_tJfUW,2021-05-16,urban
HH_Srctj,7a1c30c59d314745ba839ca2e3730ed5,7a1c30c59d314745ba839ca2e3730ed5,HH_Srctj,HH_Srctj,2021-07-28,urban
