external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_Ffbtu,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_Ffbtu,HH_Ffbtu,2021-05-23,urban
HH_K5uYV,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_K5uYV,HH_K5uYV,2021-06-14,urban
HH_5g2Jn,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_5g2Jn,HH_5g2Jn,2021-06-24,urban
HH_NQWse,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_NQWse,HH_NQWse,2021-03-10,urban
HH_wSYZ1,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_wSYZ1,HH_wSYZ1,2021-06-01,urban
HH_TwMfe,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_TwMfe,HH_TwMfe,2020-10-21,rural
HH_BA68Y,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_BA68Y,HH_BA68Y,2020-12-17,rural
HH_Q24nS,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_Q24nS,HH_Q24nS,2021-05-22,rural
HH_0YlaW,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_0YlaW,HH_0YlaW,2021-03-19,urban
HH_ijS5p,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_ijS5p,HH_ijS5p,2021-03-18,rural
HH_2QBN0,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_2QBN0,HH_2QBN0,2021-04-25,rural
HH_axQgo,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_axQgo,HH_axQgo,2020-12-25,urban
HH_Fvlop,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_Fvlop,HH_Fvlop,2020-10-05,urban
HH_TSXUF,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_TSXUF,HH_TSXUF,2021-01-09,rural
HH_L5ML6,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_L5ML6,HH_L5ML6,2021-06-15,rural
HH_2SuXm,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_2SuXm,HH_2SuXm,2021-04-07,urban
HH_2ItIo,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_2ItIo,HH_2ItIo,2021-02-20,rural
HH_tQMwr,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_tQMwr,HH_tQMwr,2020-09-15,rural
HH_Z6gyA,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_Z6gyA,HH_Z6gyA,2021-06-17,urban
HH_1GFri,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_1GFri,HH_1GFri,2021-08-16,rural
HH_vAKYU,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_vAKYU,HH_vAKYU,2021-05-21,urban
HH_QYtQq,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_QYtQq,HH_QYtQq,2020-09-11,rural
HH_xbUmR,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_xbUmR,HH_xbUmR,2021-05-26,rural
HH_FeypJ,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_FeypJ,HH_FeypJ,2020-10-05,rural
HH_ISb90,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_ISb90,HH_ISb90,2021-03-09,urban
HH_II6nV,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_II6nV,HH_II6nV,2020-09-27,urban
HH_jC1Jx,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_jC1Jx,HH_jC1Jx,2021-07-17,urban
HH_aWvaJ,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_aWvaJ,HH_aWvaJ,2020-10-01,urban
HH_6qRAC,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_6qRAC,HH_6qRAC,2021-05-05,urban
HH_BXfaw,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_BXfaw,HH_BXfaw,2020-09-29,urban
HH_ybU9q,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_ybU9q,HH_ybU9q,2020-11-20,rural
HH_HyXFn,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_HyXFn,HH_HyXFn,2020-12-26,rural
HH_DzTAQ,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_DzTAQ,HH_DzTAQ,2020-12-29,rural
HH_QW1OB,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_QW1OB,HH_QW1OB,2021-02-14,urban
HH_wjcZc,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_wjcZc,HH_wjcZc,2021-07-13,rural
HH_N68xu,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_N68xu,HH_N68xu,2020-09-17,urban
HH_Pg1JN,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_Pg1JN,HH_Pg1JN,2021-02-11,urban
HH_DvSmj,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_DvSmj,HH_DvSmj,2021-08-01,urban
HH_U4B3g,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_U4B3g,HH_U4B3g,2020-10-29,urban
HH_8oMem,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_8oMem,HH_8oMem,2021-08-07,rural
HH_q3EFc,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_q3EFc,HH_q3EFc,2020-12-17,rural
HH_ZgIn5,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_ZgIn5,HH_ZgIn5,2021-08-12,urban
HH_fwrn5,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_fwrn5,HH_fwrn5,2021-02-11,rural
HH_chRGw,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_chRGw,HH_chRGw,2021-04-24,urban
HH_GBHad,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_GBHad,HH_GBHad,2021-03-02,urban
HH_9cANd,83e807c2927c4ae292ca71b2ed60d1c7,83e807c2927c4ae292ca71b2ed60d1c7,HH_9cANd,HH_9cANd,2020-09-17,rural
