external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_i9G1l,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_i9G1l,HH_i9G1l,2021-02-02,rural
HH_Llz00,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_Llz00,HH_Llz00,2020-12-29,rural
HH_b382b,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_b382b,HH_b382b,2020-12-18,urban
HH_IFTt1,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_IFTt1,HH_IFTt1,2021-02-04,rural
HH_1Zy85,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_1Zy85,HH_1Zy85,2021-08-25,urban
HH_ouLQA,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_ouLQA,HH_ouLQA,2021-05-12,urban
HH_pAUaO,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_pAUaO,HH_pAUaO,2021-08-29,rural
HH_gPepV,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_gPepV,HH_gPepV,2020-10-06,urban
HH_EqskN,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_EqskN,HH_EqskN,2020-11-29,urban
HH_414u1,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_414u1,HH_414u1,2020-09-21,rural
HH_K5qkX,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_K5qkX,HH_K5qkX,2021-03-06,urban
HH_BsYqs,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_BsYqs,HH_BsYqs,2021-07-08,urban
HH_aX6K5,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_aX6K5,HH_aX6K5,2020-10-04,urban
HH_MiyZR,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_MiyZR,HH_MiyZR,2021-02-18,rural
HH_EZhki,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_EZhki,HH_EZhki,2021-05-04,rural
HH_siDwA,85a9d5b99a95462b8cd8cafaa6c81227,85a9d5b99a95462b8cd8cafaa6c81227,HH_siDwA,HH_siDwA,2020-10-17,urban
