external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_32F4Z,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_32F4Z,HH_32F4Z,2021-03-06,urban
HH_jeRDx,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_jeRDx,HH_jeRDx,2020-09-12,urban
HH_vxj0F,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_vxj0F,HH_vxj0F,2021-06-07,urban
HH_47bMt,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_47bMt,HH_47bMt,2021-07-05,urban
HH_KbYpz,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_KbYpz,HH_KbYpz,2021-03-12,urban
HH_O8dpm,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_O8dpm,HH_O8dpm,2021-04-13,rural
HH_eQxS3,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_eQxS3,HH_eQxS3,2020-12-23,urban
HH_01PzZ,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_01PzZ,HH_01PzZ,2020-12-10,rural
HH_6J5Jy,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_6J5Jy,HH_6J5Jy,2021-04-29,rural
HH_bdS1F,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_bdS1F,HH_bdS1F,2021-02-12,rural
HH_2fpM4,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_2fpM4,HH_2fpM4,2020-10-31,rural
HH_12kfG,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_12kfG,HH_12kfG,2021-08-07,urban
HH_wEI46,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_wEI46,HH_wEI46,2020-11-25,rural
HH_2ZYKN,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_2ZYKN,HH_2ZYKN,2021-07-10,urban
HH_FD2gY,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_FD2gY,HH_FD2gY,2021-08-13,rural
HH_Lypvr,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_Lypvr,HH_Lypvr,2021-05-19,rural
HH_SbaCb,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_SbaCb,HH_SbaCb,2021-01-08,rural
HH_hAvz6,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_hAvz6,HH_hAvz6,2021-01-27,urban
HH_xsxgW,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_xsxgW,HH_xsxgW,2021-01-03,rural
HH_WqaPQ,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_WqaPQ,HH_WqaPQ,2021-07-14,rural
HH_1UVH5,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_1UVH5,HH_1UVH5,2020-09-19,rural
HH_V7n8z,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_V7n8z,HH_V7n8z,2021-05-19,urban
HH_8I670,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_8I670,HH_8I670,2021-06-13,urban
HH_bl0q0,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_bl0q0,HH_bl0q0,2021-06-06,rural
HH_DxIfq,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_DxIfq,HH_DxIfq,2020-10-05,urban
HH_zjYgq,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_zjYgq,HH_zjYgq,2021-03-07,urban
HH_BiJAc,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_BiJAc,HH_BiJAc,2021-07-07,urban
HH_NWOi3,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_NWOi3,HH_NWOi3,2021-08-06,rural
HH_dV3RX,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_dV3RX,HH_dV3RX,2021-01-12,rural
HH_JgAgI,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_JgAgI,HH_JgAgI,2021-01-03,urban
HH_9DWII,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_9DWII,HH_9DWII,2021-05-31,urban
HH_h7iAF,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_h7iAF,HH_h7iAF,2021-07-22,urban
HH_Rh3gJ,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_Rh3gJ,HH_Rh3gJ,2021-04-20,urban
HH_eFjPz,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_eFjPz,HH_eFjPz,2021-02-03,rural
HH_QAT7P,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_QAT7P,HH_QAT7P,2021-06-24,urban
HH_KvToM,89dff1a1753f4831b81355e1cb4e0988,89dff1a1753f4831b81355e1cb4e0988,HH_KvToM,HH_KvToM,2021-04-22,rural
