external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_jZ99W,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_jZ99W,HH_jZ99W,2021-02-19,rural
HH_Rgsl6,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_Rgsl6,HH_Rgsl6,2020-09-07,rural
HH_xI5PS,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_xI5PS,HH_xI5PS,2021-01-17,urban
HH_Wn6pk,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_Wn6pk,HH_Wn6pk,2021-02-02,rural
HH_S0bzp,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_S0bzp,HH_S0bzp,2020-09-30,rural
HH_FrwcO,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_FrwcO,HH_FrwcO,2021-05-31,urban
HH_DD7PT,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_DD7PT,HH_DD7PT,2021-02-13,rural
HH_2Pl8m,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_2Pl8m,HH_2Pl8m,2021-01-05,rural
HH_J5RSq,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_J5RSq,HH_J5RSq,2020-10-12,rural
HH_wP862,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_wP862,HH_wP862,2020-11-22,urban
HH_gwHe7,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_gwHe7,HH_gwHe7,2021-04-23,urban
HH_lHioo,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_lHioo,HH_lHioo,2021-01-17,urban
HH_Bpfa7,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_Bpfa7,HH_Bpfa7,2020-10-28,urban
HH_oCums,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_oCums,HH_oCums,2021-01-29,urban
HH_BQ0f6,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_BQ0f6,HH_BQ0f6,2020-09-11,urban
HH_FPGC3,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_FPGC3,HH_FPGC3,2021-03-14,urban
HH_N76jZ,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_N76jZ,HH_N76jZ,2021-03-11,urban
HH_6BVzG,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_6BVzG,HH_6BVzG,2020-11-03,urban
HH_0AdcS,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_0AdcS,HH_0AdcS,2021-02-21,rural
HH_0gSBw,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_0gSBw,HH_0gSBw,2020-12-30,urban
HH_kaGlt,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_kaGlt,HH_kaGlt,2021-07-15,urban
HH_WtIxC,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_WtIxC,HH_WtIxC,2021-06-11,urban
HH_CheLJ,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_CheLJ,HH_CheLJ,2021-03-25,urban
HH_Jffjb,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_Jffjb,HH_Jffjb,2020-10-03,rural
HH_EmWxK,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_EmWxK,HH_EmWxK,2020-12-01,urban
HH_IMkeq,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_IMkeq,HH_IMkeq,2020-12-14,urban
HH_6SjZr,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_6SjZr,HH_6SjZr,2020-12-27,urban
HH_vHChj,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_vHChj,HH_vHChj,2020-11-03,rural
HH_2CSXQ,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_2CSXQ,HH_2CSXQ,2021-02-06,urban
HH_D9Qud,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_D9Qud,HH_D9Qud,2021-01-02,rural
HH_JKbeo,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_JKbeo,HH_JKbeo,2021-05-13,urban
HH_T79WS,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_T79WS,HH_T79WS,2021-01-03,urban
HH_WfVH6,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_WfVH6,HH_WfVH6,2021-02-20,rural
HH_Gqg7j,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_Gqg7j,HH_Gqg7j,2020-12-15,urban
HH_M1meJ,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_M1meJ,HH_M1meJ,2021-03-28,rural
HH_gjXdT,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_gjXdT,HH_gjXdT,2021-07-04,rural
HH_WPXcm,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_WPXcm,HH_WPXcm,2021-06-13,urban
HH_NtFls,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_NtFls,HH_NtFls,2021-06-17,rural
HH_ZKBAc,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_ZKBAc,HH_ZKBAc,2021-02-02,urban
HH_jvEOX,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_jvEOX,HH_jvEOX,2021-01-22,urban
HH_3voS0,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_3voS0,HH_3voS0,2021-06-10,urban
HH_eC2AL,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_eC2AL,HH_eC2AL,2021-06-10,urban
HH_9GQtI,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_9GQtI,HH_9GQtI,2021-01-03,rural
HH_l2Cx9,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_l2Cx9,HH_l2Cx9,2021-04-16,urban
HH_cKUlE,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_cKUlE,HH_cKUlE,2021-07-05,urban
HH_nIg65,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_nIg65,HH_nIg65,2020-11-02,urban
HH_RJJjE,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_RJJjE,HH_RJJjE,2020-11-19,rural
HH_mp6S0,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_mp6S0,HH_mp6S0,2021-06-30,urban
HH_7fXue,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_7fXue,HH_7fXue,2021-05-25,urban
HH_iax1L,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_iax1L,HH_iax1L,2021-03-25,rural
HH_9UDxd,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_9UDxd,HH_9UDxd,2021-05-08,urban
HH_MtGpX,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_MtGpX,HH_MtGpX,2021-04-10,urban
HH_1VICw,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_1VICw,HH_1VICw,2020-11-11,rural
HH_iZpl0,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_iZpl0,HH_iZpl0,2021-01-22,rural
HH_VbdB4,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_VbdB4,HH_VbdB4,2021-01-17,rural
HH_3IEoI,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_3IEoI,HH_3IEoI,2020-11-03,rural
HH_RJm0H,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_RJm0H,HH_RJm0H,2021-05-30,urban
HH_N63Sh,9146bfec515644dca1f3aa987c4142dc,9146bfec515644dca1f3aa987c4142dc,HH_N63Sh,HH_N63Sh,2021-04-07,urban
