external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_kczbm,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_kczbm,HH_kczbm,2021-07-16,rural
HH_SAVaN,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_SAVaN,HH_SAVaN,2021-07-26,urban
HH_9ISmQ,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_9ISmQ,HH_9ISmQ,2021-08-10,rural
HH_2l9On,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_2l9On,HH_2l9On,2021-08-15,rural
HH_FP78p,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_FP78p,HH_FP78p,2021-05-15,rural
HH_oPLVA,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_oPLVA,HH_oPLVA,2021-07-21,urban
HH_z8vTD,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_z8vTD,HH_z8vTD,2020-10-03,rural
HH_iJRcM,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_iJRcM,HH_iJRcM,2021-04-11,rural
HH_YPcMq,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_YPcMq,HH_YPcMq,2020-12-01,urban
HH_kHip6,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_kHip6,HH_kHip6,2020-12-23,rural
HH_sgKLZ,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_sgKLZ,HH_sgKLZ,2020-12-05,rural
HH_281hs,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_281hs,HH_281hs,2021-07-29,rural
HH_SUU8T,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_SUU8T,HH_SUU8T,2020-09-12,rural
HH_MInLf,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_MInLf,HH_MInLf,2020-10-19,rural
HH_AYl9b,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_AYl9b,HH_AYl9b,2021-05-21,urban
HH_DfQFd,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_DfQFd,HH_DfQFd,2020-12-21,urban
HH_oRaSH,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_oRaSH,HH_oRaSH,2020-12-22,rural
HH_ek9wV,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_ek9wV,HH_ek9wV,2021-01-10,urban
HH_eOpCL,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_eOpCL,HH_eOpCL,2021-03-20,urban
HH_lz57s,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_lz57s,HH_lz57s,2021-03-30,rural
HH_s8QaZ,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_s8QaZ,HH_s8QaZ,2020-10-28,rural
HH_0z8k4,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_0z8k4,HH_0z8k4,2021-04-01,urban
HH_D5KUX,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_D5KUX,HH_D5KUX,2021-01-23,rural
HH_iEbt7,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_iEbt7,HH_iEbt7,2021-06-22,rural
HH_Tjkmv,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_Tjkmv,HH_Tjkmv,2020-11-19,urban
HH_HoMQX,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_HoMQX,HH_HoMQX,2021-05-19,rural
HH_92upX,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_92upX,HH_92upX,2020-12-15,rural
HH_jWBQm,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_jWBQm,HH_jWBQm,2020-10-21,rural
HH_86bQO,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_86bQO,HH_86bQO,2021-05-29,rural
HH_cNeXR,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_cNeXR,HH_cNeXR,2020-10-26,rural
HH_dQ0Mt,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_dQ0Mt,HH_dQ0Mt,2021-08-23,rural
HH_xkrup,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_xkrup,HH_xkrup,2021-03-24,urban
HH_vWCiP,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_vWCiP,HH_vWCiP,2021-07-24,urban
HH_jjccn,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_jjccn,HH_jjccn,2021-08-24,urban
HH_HkT4C,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_HkT4C,HH_HkT4C,2021-01-28,urban
HH_slRaS,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_slRaS,HH_slRaS,2021-04-23,rural
HH_ETlt1,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_ETlt1,HH_ETlt1,2020-10-02,rural
HH_9EG5o,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_9EG5o,HH_9EG5o,2021-01-19,rural
HH_nB4Zc,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_nB4Zc,HH_nB4Zc,2020-11-07,rural
HH_gyx2Y,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_gyx2Y,HH_gyx2Y,2021-04-12,urban
HH_mOmGE,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_mOmGE,HH_mOmGE,2021-04-23,urban
HH_msCXq,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_msCXq,HH_msCXq,2020-11-08,rural
HH_aSAtP,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_aSAtP,HH_aSAtP,2020-09-23,urban
HH_DZ0vk,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_DZ0vk,HH_DZ0vk,2021-04-13,rural
HH_Rqo2K,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_Rqo2K,HH_Rqo2K,2020-12-20,rural
HH_Vtp2Z,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_Vtp2Z,HH_Vtp2Z,2021-03-30,urban
HH_TbBdW,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_TbBdW,HH_TbBdW,2020-11-16,rural
HH_4U8ZS,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_4U8ZS,HH_4U8ZS,2021-01-24,urban
HH_yS8vi,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_yS8vi,HH_yS8vi,2020-11-05,rural
HH_begp1,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_begp1,HH_begp1,2021-06-01,urban
HH_Ghm88,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_Ghm88,HH_Ghm88,2021-02-27,rural
HH_9YtsP,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_9YtsP,HH_9YtsP,2021-08-13,urban
HH_wd75i,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_wd75i,HH_wd75i,2021-05-03,rural
HH_ypK1K,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_ypK1K,HH_ypK1K,2020-09-06,rural
HH_TLq35,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_TLq35,HH_TLq35,2020-10-10,rural
HH_xo4qz,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_xo4qz,HH_xo4qz,2021-07-24,rural
HH_jzbEj,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_jzbEj,HH_jzbEj,2021-03-04,urban
HH_XpqcK,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_XpqcK,HH_XpqcK,2020-12-23,urban
HH_THFT3,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_THFT3,HH_THFT3,2021-04-03,rural
HH_yAO3o,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_yAO3o,HH_yAO3o,2020-11-29,rural
HH_TOK0A,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_TOK0A,HH_TOK0A,2020-10-25,rural
HH_xd2hD,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_xd2hD,HH_xd2hD,2020-09-28,rural
HH_rVKjA,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_rVKjA,HH_rVKjA,2021-07-21,urban
HH_1vroX,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_1vroX,HH_1vroX,2020-10-08,rural
HH_MVbTt,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_MVbTt,HH_MVbTt,2021-07-31,rural
HH_g1dYw,963bb04d61ce4afdb60af4588a5fcdf5,963bb04d61ce4afdb60af4588a5fcdf5,HH_g1dYw,HH_g1dYw,2021-08-19,rural
