external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_rrYFT,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_rrYFT,HH_rrYFT,2021-04-21,rural
HH_z8URs,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_z8URs,HH_z8URs,2021-03-04,rural
HH_1QFPQ,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_1QFPQ,HH_1QFPQ,2021-05-26,rural
HH_VLphc,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_VLphc,HH_VLphc,2021-07-04,rural
HH_K4t7S,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_K4t7S,HH_K4t7S,2021-08-06,urban
HH_lozKs,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_lozKs,HH_lozKs,2021-03-17,urban
HH_5QVTP,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_5QVTP,HH_5QVTP,2021-01-30,urban
HH_42k9L,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_42k9L,HH_42k9L,2020-10-08,urban
HH_AyBQw,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_AyBQw,HH_AyBQw,2020-09-12,urban
HH_jAdkk,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_jAdkk,HH_jAdkk,2021-01-13,urban
HH_4sNLY,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_4sNLY,HH_4sNLY,2020-11-25,urban
HH_V7CQJ,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_V7CQJ,HH_V7CQJ,2020-10-08,urban
HH_exDLm,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_exDLm,HH_exDLm,2021-04-10,rural
HH_FYv50,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_FYv50,HH_FYv50,2021-08-15,urban
HH_93n0C,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_93n0C,HH_93n0C,2020-12-30,urban
HH_mYmdB,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_mYmdB,HH_mYmdB,2021-08-07,rural
HH_KxH9F,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_KxH9F,HH_KxH9F,2021-04-08,urban
HH_bFv35,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_bFv35,HH_bFv35,2020-10-16,urban
HH_ps86D,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_ps86D,HH_ps86D,2021-01-12,rural
HH_jTytl,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_jTytl,HH_jTytl,2020-10-10,urban
HH_hOgR8,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_hOgR8,HH_hOgR8,2021-01-06,urban
HH_PseO2,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_PseO2,HH_PseO2,2021-04-14,rural
HH_dXB4e,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_dXB4e,HH_dXB4e,2021-01-06,rural
HH_AKzQC,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_AKzQC,HH_AKzQC,2020-11-06,urban
HH_enkql,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_enkql,HH_enkql,2020-09-05,urban
HH_ZbQzu,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_ZbQzu,HH_ZbQzu,2021-01-29,urban
HH_YRyzk,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_YRyzk,HH_YRyzk,2021-03-09,rural
HH_orUtY,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_orUtY,HH_orUtY,2020-12-20,urban
HH_g6QoX,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_g6QoX,HH_g6QoX,2020-10-09,urban
HH_tUj2E,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_tUj2E,HH_tUj2E,2020-11-02,urban
HH_SNYyU,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_SNYyU,HH_SNYyU,2021-04-07,rural
HH_2YLIC,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_2YLIC,HH_2YLIC,2021-05-20,urban
HH_QdH3T,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_QdH3T,HH_QdH3T,2021-01-27,rural
HH_f52ss,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_f52ss,HH_f52ss,2021-06-27,urban
HH_DeyTu,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_DeyTu,HH_DeyTu,2021-01-03,rural
HH_wt1Sh,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_wt1Sh,HH_wt1Sh,2021-05-27,urban
HH_jY7Iz,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_jY7Iz,HH_jY7Iz,2021-07-20,urban
HH_NYblr,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_NYblr,HH_NYblr,2021-02-21,rural
HH_exsQv,9a2c3c0fab574ef8a28166092ae2e7c2,9a2c3c0fab574ef8a28166092ae2e7c2,HH_exsQv,HH_exsQv,2020-09-29,urban
