external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_xmWxM,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_xmWxM,HH_xmWxM,2021-02-23,urban
HH_sMNwr,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_sMNwr,HH_sMNwr,2021-04-29,urban
HH_GMrPa,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_GMrPa,HH_GMrPa,2020-10-24,rural
HH_TXlte,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_TXlte,HH_TXlte,2020-11-06,rural
HH_TnEOm,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_TnEOm,HH_TnEOm,2021-06-26,urban
HH_jRT6A,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_jRT6A,HH_jRT6A,2020-12-24,rural
HH_5DmYA,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_5DmYA,HH_5DmYA,2021-06-27,rural
HH_K7aI9,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_K7aI9,HH_K7aI9,2020-09-26,rural
HH_6hL9s,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_6hL9s,HH_6hL9s,2021-04-29,urban
HH_PggC4,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_PggC4,HH_PggC4,2021-08-14,rural
HH_G8366,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_G8366,HH_G8366,2020-12-18,rural
HH_4NlQ5,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_4NlQ5,HH_4NlQ5,2020-12-02,urban
HH_oGh9l,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_oGh9l,HH_oGh9l,2021-07-26,rural
HH_3jeRw,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_3jeRw,HH_3jeRw,2021-06-12,urban
HH_hDZzl,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_hDZzl,HH_hDZzl,2021-08-29,rural
HH_fZmH7,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_fZmH7,HH_fZmH7,2021-01-14,urban
HH_ad2Fj,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_ad2Fj,HH_ad2Fj,2020-11-24,rural
HH_Og1MQ,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_Og1MQ,HH_Og1MQ,2020-12-08,urban
HH_ZLkX8,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_ZLkX8,HH_ZLkX8,2021-01-27,rural
HH_bae2l,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_bae2l,HH_bae2l,2021-07-20,urban
HH_OPqng,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_OPqng,HH_OPqng,2021-07-30,urban
HH_dlFmY,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_dlFmY,HH_dlFmY,2020-12-26,rural
HH_OD6ly,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_OD6ly,HH_OD6ly,2021-08-03,rural
HH_El6lZ,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_El6lZ,HH_El6lZ,2021-03-24,urban
HH_HUwfn,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_HUwfn,HH_HUwfn,2021-06-30,urban
HH_LVdVx,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_LVdVx,HH_LVdVx,2021-02-26,urban
HH_O1KOZ,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_O1KOZ,HH_O1KOZ,2020-09-17,rural
HH_wHhLN,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_wHhLN,HH_wHhLN,2020-09-08,rural
HH_qlF82,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_qlF82,HH_qlF82,2021-02-27,rural
HH_RackI,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_RackI,HH_RackI,2021-03-05,rural
HH_cmFJg,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_cmFJg,HH_cmFJg,2020-10-17,urban
HH_mKjCE,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_mKjCE,HH_mKjCE,2021-05-16,rural
HH_yjEIF,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_yjEIF,HH_yjEIF,2021-02-28,urban
HH_fCDvc,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_fCDvc,HH_fCDvc,2021-02-02,urban
HH_Ejw6h,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_Ejw6h,HH_Ejw6h,2021-06-24,rural
HH_1LulL,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_1LulL,HH_1LulL,2021-04-17,urban
HH_vVAsz,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_vVAsz,HH_vVAsz,2021-06-06,urban
HH_Rxgwq,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_Rxgwq,HH_Rxgwq,2021-03-24,rural
HH_VKGix,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_VKGix,HH_VKGix,2020-11-26,rural
HH_iq1Fc,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_iq1Fc,HH_iq1Fc,2021-04-12,rural
HH_gX6AI,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_gX6AI,HH_gX6AI,2021-08-05,rural
HH_cfJGF,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_cfJGF,HH_cfJGF,2020-10-09,urban
HH_2wpw5,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_2wpw5,HH_2wpw5,2020-09-20,rural
HH_IwkOQ,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_IwkOQ,HH_IwkOQ,2021-06-01,urban
HH_A2PsZ,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_A2PsZ,HH_A2PsZ,2021-07-13,rural
HH_V1a9K,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_V1a9K,HH_V1a9K,2021-04-15,rural
HH_XkXLk,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_XkXLk,HH_XkXLk,2021-02-26,urban
HH_anSua,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_anSua,HH_anSua,2020-10-14,urban
HH_UYhjR,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_UYhjR,HH_UYhjR,2021-08-28,urban
HH_eXsG0,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_eXsG0,HH_eXsG0,2021-03-31,urban
HH_NzMQD,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_NzMQD,HH_NzMQD,2021-03-09,urban
HH_T75XU,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_T75XU,HH_T75XU,2020-12-20,urban
HH_Jxv7i,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_Jxv7i,HH_Jxv7i,2021-01-04,urban
HH_Y3fgl,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_Y3fgl,HH_Y3fgl,2021-06-06,rural
HH_quYms,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_quYms,HH_quYms,2020-12-14,urban
HH_Sx1eP,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_Sx1eP,HH_Sx1eP,2021-04-21,rural
HH_2guRj,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_2guRj,HH_2guRj,2021-08-27,urban
HH_bkAR6,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_bkAR6,HH_bkAR6,2021-01-08,rural
HH_CJNhY,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_CJNhY,HH_CJNhY,2021-05-18,urban
HH_jrCEc,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_jrCEc,HH_jrCEc,2021-02-25,urban
HH_nzs4I,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_nzs4I,HH_nzs4I,2021-04-22,urban
HH_FBIOe,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_FBIOe,HH_FBIOe,2021-03-14,urban
HH_4CG6b,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_4CG6b,HH_4CG6b,2021-01-07,urban
HH_BwXBE,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_BwXBE,HH_BwXBE,2020-09-18,rural
HH_2K60u,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_2K60u,HH_2K60u,2020-10-10,rural
HH_vMXXV,9c9d2604a7bf42baa476ea22a6c6ceaf,9c9d2604a7bf42baa476ea22a6c6ceaf,HH_vMXXV,HH_vMXXV,2021-05-15,rural
