external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_HjeXq,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_HjeXq,HH_HjeXq,2020-11-30,urban
HH_18nkJ,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_18nkJ,HH_18nkJ,2021-05-12,rural
HH_6Ted9,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_6Ted9,HH_6Ted9,2021-01-14,rural
HH_cGI0D,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_cGI0D,HH_cGI0D,2021-01-18,urban
HH_mUB4s,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_mUB4s,HH_mUB4s,2020-09-24,rural
HH_L9spj,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_L9spj,HH_L9spj,2021-07-03,urban
HH_2WaFv,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_2WaFv,HH_2WaFv,2021-03-16,urban
HH_KpAxI,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_KpAxI,HH_KpAxI,2021-04-18,urban
HH_m25ce,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_m25ce,HH_m25ce,2021-07-19,urban
HH_KhhJl,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_KhhJl,HH_KhhJl,2021-05-05,rural
HH_uyCW9,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_uyCW9,HH_uyCW9,2021-07-17,rural
HH_Naqjv,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_Naqjv,HH_Naqjv,2021-01-13,urban
HH_sfDKR,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_sfDKR,HH_sfDKR,2020-09-06,rural
HH_DoL6h,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_DoL6h,HH_DoL6h,2021-06-15,urban
HH_oAdSe,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_oAdSe,HH_oAdSe,2021-04-01,rural
HH_j91km,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_j91km,HH_j91km,2021-03-17,rural
HH_BFluL,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_BFluL,HH_BFluL,2021-06-18,rural
HH_7yQFt,b9b69fee2ce24a898c8de5c8a7cee984,b9b69fee2ce24a898c8de5c8a7cee984,HH_7yQFt,HH_7yQFt,2021-01-23,urban
