external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_Ygetd,eaefe9133cad41fca6d42184bf28f993,eaefe9133cad41fca6d42184bf28f993,HH_Ygetd,HH_Ygetd,2021-06-13,rural
HH_PvLrU,eaefe9133cad41fca6d42184bf28f993,eaefe9133cad41fca6d42184bf28f993,HH_PvLrU,HH_PvLrU,2021-07-06,urban
HH_YLpRP,eaefe9133cad41fca6d42184bf28f993,eaefe9133cad41fca6d42184bf28f993,HH_YLpRP,HH_YLpRP,2021-01-07,urban
HH_Clqf8,eaefe9133cad41fca6d42184bf28f993,eaefe9133cad41fca6d42184bf28f993,HH_Clqf8,HH_Clqf8,2021-01-24,rural
HH_lQHCt,eaefe9133cad41fca6d42184bf28f993,eaefe9133cad41fca6d42184bf28f993,HH_lQHCt,HH_lQHCt,2021-06-09,rural
HH_4Czer,eaefe9133cad41fca6d42184bf28f993,eaefe9133cad41fca6d42184bf28f993,HH_4Czer,HH_4Czer,2020-10-18,urban
HH_nsBg7,eaefe9133cad41fca6d42184bf28f993,eaefe9133cad41fca6d42184bf28f993,HH_nsBg7,HH_nsBg7,2020-09-15,urban
HH_2TP92,eaefe9133cad41fca6d42184bf28f993,eaefe9133cad41fca6d42184bf28f993,HH_2TP92,HH_2TP92,2021-06-01,urban
HH_6Lxxu,eaefe9133cad41fca6d42184bf28f993,eaefe9133cad41fca6d42184bf28f993,HH_6Lxxu,HH_6Lxxu,2021-03-22,rural
HH_lzqE2,eaefe9133cad41fca6d42184bf28f993,eaefe9133cad41fca6d42184bf28f993,HH_lzqE2,HH_lzqE2,2021-06-19,rural
