property_count, load_time(secs)
1 to 249, 10.70
250 to 499, 20.13
500 to 699, 20.58
700 to 899, 21.93
900 to 999, 22.05
1000 to 1049, 22.69
1050 to 1099, 23.29
1100 to 1149, 25.89
1150 to 1199, 28.76
1200 to 1249, 28.90
1250 to 1299, 29.09
1300 to 1349, 29.14
1350 to 1399, 31.36
1400 to 1419, 31.71
1420 to 1439, 32.41
1440 to 1459, 33.22
1460 to 1479, 32.08
1480 to 1499, 32.98
1500 to 1519, 34.18
1520 to 1539, 34.42
1540 to 1559, 46.71
1560 to 1579, 39.80
1580 to 1599, 41.08
1600 to 1619, 38.85
1620 to 1639, 53.58
1640 to 1659, 40.37
1660 to 1679, 39.43
1680 to 1699, 38.93
1700 to 1719, 41.59
1720 to 1739, 44.19
1740 to 1759, 44.11
1760 to 1779, 44.84
1780 to 1799, 47.03
1800 to 1819, 43.20
1820 to 1839, 44.89
1840 to 1859, 43.10
1860 to 1879, 45.96
1880 to 1899, 3m 18.43s
1900 to 1919, 3m 14.41s
1920 to 1939, 3m 25.16s
1940 to 1959, 3m 18.61s
1960 to 1979, blank screen/ 6m 32.13s
1980 to 1999, unresponsive/ 4m 19.28s
