owner_id,Number of form submissions per owner_id
6ad035a9fd784599ad9490236ec55cd1,456
2aac5f9954084b539ead0a6c4c7f5202,138
4589e374e5584bb7badddc2c22a8b184,462
48d80a3062aa4ef2935b9985ee4526a9,320
285ddbf3cefd48419ad273e743b47f9c,336
d52459271fa24bc89bda1342174571cc,232
b9b69fee2ce24a898c8de5c8a7cee984,169
17665018cb624233ab5f19eeca0d357b,475
9a2c3c0fab574ef8a28166092ae2e7c2,163
8990c6862eea47d1910331c9dea4fad9,356
29f8f904b92948ad94a629a534897a7f,325
eaefe9133cad41fca6d42184bf28f993,206
83e807c2927c4ae292ca71b2ed60d1c7,485
5f6cd922037f4aa6998d05ef45d3feb1,409
0e383cb2ef7542c9baaa9badca7de43d,396
4ea48bd297244611ae26e172d56d4fae,346
1b5ffde56e7f47129e81e2c5c3ab61a2,230
ca1c973427564967a65b689c80caedb3,388
9b2bf2a6d2bc48818d3b47e88e0fcd43,192
9146bfec515644dca1f3aa987c4142dc,429
4695cacd2d6a4d2580be523451dc9908,467
137c2116bce7476d901f138e34b1053b,346
ae90532c080d4f7b9933e792eaf0c43b,111
4f07627c5e4b469198636cf337cd84db,219
1baaebfb7f6e4f38b5b0da756ed81fcd,487
1e9ec3ba86084e019227bc5ee072ba2c,429
963bb04d61ce4afdb60af4588a5fcdf5,459
9c9d2604a7bf42baa476ea22a6c6ceaf,497
04ee991065ec4896b701801c71dbf813,500
b210ddfd9e9f4f8681ada8e996c06547,494
1edc6e6d36244a61b97be5713125c9c4,206
89dff1a1753f4831b81355e1cb4e0988,330
882a5068b5674872a265f0f897c43b11,383
3e74d9b61b614b7db34d3d77afc69f6e,456
85a9d5b99a95462b8cd8cafaa6c81227,185
705da41078f040008558403880beae08,350
7a1c30c59d314745ba839ca2e3730ed5,460
544015df17f34744bf055021545448bd,337
804cb2529bed462c9b941e7935e4e30e,144
