external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_zzzxV,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_zzzxV,HH_zzzxV,2020-09-14,rural
HH_couZT,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_couZT,HH_couZT,2021-01-18,urban
HH_AhX0h,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_AhX0h,HH_AhX0h,2021-03-02,urban
HH_EMwjR,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_EMwjR,HH_EMwjR,2020-11-02,urban
HH_M6ox7,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_M6ox7,HH_M6ox7,2021-07-01,urban
HH_oeRwR,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_oeRwR,HH_oeRwR,2020-12-29,rural
HH_sRyXT,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_sRyXT,HH_sRyXT,2021-04-17,rural
HH_R79G2,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_R79G2,HH_R79G2,2021-07-15,rural
HH_xQwXT,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_xQwXT,HH_xQwXT,2020-10-10,rural
HH_tWJOp,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_tWJOp,HH_tWJOp,2021-05-31,rural
HH_uH3XL,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_uH3XL,HH_uH3XL,2021-06-17,urban
HH_N1B4I,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_N1B4I,HH_N1B4I,2021-01-13,rural
HH_x69jN,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_x69jN,HH_x69jN,2021-02-02,rural
HH_E13PI,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_E13PI,HH_E13PI,2021-07-11,urban
HH_38RtD,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_38RtD,HH_38RtD,2021-05-19,urban
HH_43Qmx,1edc6e6d36244a61b97be5713125c9c4,1edc6e6d36244a61b97be5713125c9c4,HH_43Qmx,HH_43Qmx,2021-03-25,urban
