external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_zLE8r,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_zLE8r,HH_zLE8r,2020-09-15,rural
HH_XfZfH,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_XfZfH,HH_XfZfH,2021-07-30,rural
HH_luQ8S,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_luQ8S,HH_luQ8S,2021-04-19,urban
HH_0fC0b,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_0fC0b,HH_0fC0b,2020-09-06,rural
HH_BZlnP,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_BZlnP,HH_BZlnP,2021-07-06,urban
HH_mXzTp,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_mXzTp,HH_mXzTp,2021-04-12,rural
HH_dJ2GL,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_dJ2GL,HH_dJ2GL,2021-02-08,urban
HH_1LuoU,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_1LuoU,HH_1LuoU,2020-10-01,urban
HH_FAbx6,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_FAbx6,HH_FAbx6,2021-05-31,urban
HH_CnKrX,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_CnKrX,HH_CnKrX,2020-12-03,urban
HH_HUjSg,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_HUjSg,HH_HUjSg,2021-01-12,rural
HH_YDAWz,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_YDAWz,HH_YDAWz,2020-11-13,urban
HH_rbWla,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_rbWla,HH_rbWla,2020-10-07,urban
HH_MLwJq,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_MLwJq,HH_MLwJq,2020-12-03,rural
HH_LG6yP,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_LG6yP,HH_LG6yP,2021-04-08,urban
HH_6K77L,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_6K77L,HH_6K77L,2021-04-10,urban
HH_POdgA,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_POdgA,HH_POdgA,2021-03-15,urban
HH_KPu6L,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_KPu6L,HH_KPu6L,2020-12-08,urban
HH_xAGc9,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_xAGc9,HH_xAGc9,2021-01-15,urban
HH_BNYoN,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_BNYoN,HH_BNYoN,2020-12-18,rural
HH_zBYXm,2aac5f9954084b539ead0a6c4c7f5202,2aac5f9954084b539ead0a6c4c7f5202,HH_zBYXm,HH_zBYXm,2021-05-06,urban
