external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_0wVbR,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_0wVbR,HH_0wVbR,2021-04-29,urban
HH_6qqCW,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_6qqCW,HH_6qqCW,2020-12-29,rural
HH_PGlCZ,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_PGlCZ,HH_PGlCZ,2020-09-13,urban
HH_kUMDJ,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_kUMDJ,HH_kUMDJ,2021-05-17,urban
HH_JA9OB,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_JA9OB,HH_JA9OB,2021-06-29,rural
HH_7WJWL,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_7WJWL,HH_7WJWL,2020-10-24,rural
HH_zkDOH,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_zkDOH,HH_zkDOH,2021-07-30,urban
HH_oOdV0,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_oOdV0,HH_oOdV0,2021-07-21,urban
HH_AoXI0,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_AoXI0,HH_AoXI0,2020-09-04,rural
HH_nqTup,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_nqTup,HH_nqTup,2020-10-12,rural
HH_SJGoi,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_SJGoi,HH_SJGoi,2021-06-16,urban
HH_yBYP0,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_yBYP0,HH_yBYP0,2021-06-18,rural
HH_6jYOU,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_6jYOU,HH_6jYOU,2020-09-17,rural
HH_dg1Z4,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_dg1Z4,HH_dg1Z4,2021-05-20,rural
HH_4016s,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_4016s,HH_4016s,2021-05-22,urban
HH_U44iQ,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_U44iQ,HH_U44iQ,2021-06-25,urban
HH_JSe5b,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_JSe5b,HH_JSe5b,2021-05-03,urban
HH_jnEpM,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_jnEpM,HH_jnEpM,2020-12-10,urban
HH_1dDGB,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_1dDGB,HH_1dDGB,2020-09-05,urban
HH_wgbMv,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_wgbMv,HH_wgbMv,2021-04-11,urban
HH_r8ud9,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_r8ud9,HH_r8ud9,2021-03-27,urban
HH_ncJdM,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_ncJdM,HH_ncJdM,2021-05-25,rural
HH_wMctH,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_wMctH,HH_wMctH,2021-04-28,urban
HH_DKkyY,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_DKkyY,HH_DKkyY,2021-04-13,rural
HH_HiMKt,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_HiMKt,HH_HiMKt,2020-10-27,rural
HH_bbKam,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_bbKam,HH_bbKam,2021-02-11,urban
HH_gaHNQ,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_gaHNQ,HH_gaHNQ,2021-02-07,rural
HH_InQJs,3e74d9b61b614b7db34d3d77afc69f6e,3e74d9b61b614b7db34d3d77afc69f6e,HH_InQJs,HH_InQJs,2021-07-09,urban
