external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_6NxhM,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_6NxhM,HH_6NxhM,2021-04-25,rural
HH_OsDRZ,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_OsDRZ,HH_OsDRZ,2021-03-10,rural
HH_Bmw2C,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_Bmw2C,HH_Bmw2C,2021-07-08,rural
HH_uXbn9,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_uXbn9,HH_uXbn9,2021-01-02,urban
HH_BsEsX,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_BsEsX,HH_BsEsX,2021-04-10,rural
HH_6sFrz,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_6sFrz,HH_6sFrz,2020-11-05,rural
HH_BmXTu,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_BmXTu,HH_BmXTu,2021-01-21,rural
HH_8APCf,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_8APCf,HH_8APCf,2020-12-26,urban
HH_bA1Pb,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_bA1Pb,HH_bA1Pb,2021-07-13,urban
HH_mjAGA,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_mjAGA,HH_mjAGA,2021-04-11,rural
HH_Qe5bq,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_Qe5bq,HH_Qe5bq,2021-03-17,urban
HH_u45OB,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_u45OB,HH_u45OB,2020-11-22,rural
HH_HdQ3i,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_HdQ3i,HH_HdQ3i,2021-03-04,rural
HH_Zd6mD,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_Zd6mD,HH_Zd6mD,2020-11-08,urban
HH_2lLqK,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_2lLqK,HH_2lLqK,2020-11-17,urban
HH_cdeZ5,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_cdeZ5,HH_cdeZ5,2021-07-23,urban
HH_Esm5h,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_Esm5h,HH_Esm5h,2020-12-18,rural
HH_U4e2X,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_U4e2X,HH_U4e2X,2021-01-19,urban
HH_TQaYI,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_TQaYI,HH_TQaYI,2020-12-17,urban
HH_hczbw,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_hczbw,HH_hczbw,2021-06-24,urban
HH_NEfSM,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_NEfSM,HH_NEfSM,2021-04-02,rural
HH_EYNAp,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_EYNAp,HH_EYNAp,2021-08-23,urban
HH_hqbjU,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_hqbjU,HH_hqbjU,2021-03-15,urban
HH_G6Msk,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_G6Msk,HH_G6Msk,2021-08-04,urban
HH_cRauL,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_cRauL,HH_cRauL,2021-01-14,rural
HH_I1ddq,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_I1ddq,HH_I1ddq,2021-04-23,rural
HH_80RvL,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_80RvL,HH_80RvL,2020-11-05,rural
HH_75AJA,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_75AJA,HH_75AJA,2021-08-04,rural
HH_gYIsR,882a5068b5674872a265f0f897c43b11,882a5068b5674872a265f0f897c43b11,HH_gYIsR,HH_gYIsR,2021-03-22,urban
