external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_4aN5j,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_4aN5j,HH_4aN5j,2021-01-08,rural
HH_eTctn,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_eTctn,HH_eTctn,2020-10-20,rural
HH_4v3Oe,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_4v3Oe,HH_4v3Oe,2021-03-28,urban
HH_7DbBr,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_7DbBr,HH_7DbBr,2020-11-27,urban
HH_4uZgd,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_4uZgd,HH_4uZgd,2021-03-02,urban
HH_rqkcl,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_rqkcl,HH_rqkcl,2021-03-05,urban
HH_b7wFQ,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_b7wFQ,HH_b7wFQ,2020-09-26,rural
HH_0fWAV,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_0fWAV,HH_0fWAV,2021-02-28,urban
HH_0IYbW,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_0IYbW,HH_0IYbW,2020-10-20,rural
HH_JsX7Y,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_JsX7Y,HH_JsX7Y,2020-09-24,urban
HH_5cqwZ,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_5cqwZ,HH_5cqwZ,2021-07-31,rural
HH_e7y86,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_e7y86,HH_e7y86,2021-07-30,urban
HH_KYSWu,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_KYSWu,HH_KYSWu,2021-05-18,rural
HH_UNTyW,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_UNTyW,HH_UNTyW,2020-12-03,urban
HH_mnwRw,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_mnwRw,HH_mnwRw,2021-02-09,rural
HH_YVnIM,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_YVnIM,HH_YVnIM,2021-08-29,urban
HH_FvwnV,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_FvwnV,HH_FvwnV,2021-07-11,urban
HH_ITuPp,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_ITuPp,HH_ITuPp,2021-06-08,rural
HH_rPOUQ,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_rPOUQ,HH_rPOUQ,2021-08-16,rural
HH_XVBx7,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_XVBx7,HH_XVBx7,2021-04-15,urban
HH_MGJvA,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_MGJvA,HH_MGJvA,2020-10-04,rural
HH_cthZA,8990c6862eea47d1910331c9dea4fad9,8990c6862eea47d1910331c9dea4fad9,HH_cthZA,HH_cthZA,2021-03-31,rural
