external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_fUwpT,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_fUwpT,HH_fUwpT,2020-10-04,urban
HH_l6lpi,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_l6lpi,HH_l6lpi,2021-05-25,rural
HH_iIhYE,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_iIhYE,HH_iIhYE,2021-05-14,rural
HH_UpdVZ,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_UpdVZ,HH_UpdVZ,2020-10-16,urban
HH_JPvQD,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_JPvQD,HH_JPvQD,2021-05-12,rural
HH_7PfiT,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_7PfiT,HH_7PfiT,2021-03-08,urban
HH_NfEKc,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_NfEKc,HH_NfEKc,2020-10-21,rural
HH_KcFUW,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_KcFUW,HH_KcFUW,2020-12-08,urban
HH_rcTz5,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_rcTz5,HH_rcTz5,2021-08-27,rural
HH_0sgL8,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_0sgL8,HH_0sgL8,2021-05-21,urban
HH_rFKAT,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_rFKAT,HH_rFKAT,2020-12-18,urban
HH_q0pGo,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_q0pGo,HH_q0pGo,2021-06-28,urban
HH_EtKzd,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_EtKzd,HH_EtKzd,2021-04-04,urban
HH_DgzQM,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_DgzQM,HH_DgzQM,2021-08-15,rural
HH_XvU0u,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_XvU0u,HH_XvU0u,2021-04-10,urban
HH_hZbzp,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_hZbzp,HH_hZbzp,2021-01-18,rural
HH_o4SoM,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_o4SoM,HH_o4SoM,2021-05-02,rural
HH_GODL2,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_GODL2,HH_GODL2,2021-03-09,rural
HH_5CoUs,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_5CoUs,HH_5CoUs,2021-08-14,urban
HH_qBX27,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_qBX27,HH_qBX27,2021-01-19,rural
HH_UVJKe,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_UVJKe,HH_UVJKe,2021-06-08,urban
HH_weGsd,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_weGsd,HH_weGsd,2020-10-04,rural
HH_ub9oA,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_ub9oA,HH_ub9oA,2020-11-04,urban
HH_IAo7C,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_IAo7C,HH_IAo7C,2021-01-31,urban
HH_QrRgy,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_QrRgy,HH_QrRgy,2020-09-18,urban
HH_8zZLO,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_8zZLO,HH_8zZLO,2020-10-29,urban
HH_MlLgI,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_MlLgI,HH_MlLgI,2021-03-24,urban
HH_W93pX,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_W93pX,HH_W93pX,2020-10-11,rural
HH_HNYXz,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_HNYXz,HH_HNYXz,2021-07-15,rural
HH_ylPeo,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_ylPeo,HH_ylPeo,2021-01-13,rural
HH_LQYH2,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_LQYH2,HH_LQYH2,2021-04-05,rural
HH_rFpnk,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_rFpnk,HH_rFpnk,2021-07-26,urban
HH_m5sfV,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_m5sfV,HH_m5sfV,2020-12-29,rural
HH_EtftE,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_EtftE,HH_EtftE,2020-09-13,urban
HH_zDz8x,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_zDz8x,HH_zDz8x,2021-06-22,rural
HH_TA6Pa,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_TA6Pa,HH_TA6Pa,2020-11-05,rural
HH_EgUR3,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_EgUR3,HH_EgUR3,2020-09-11,rural
HH_MoPHz,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_MoPHz,HH_MoPHz,2020-09-12,rural
HH_qVoyX,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_qVoyX,HH_qVoyX,2021-08-16,rural
HH_vxcyS,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_vxcyS,HH_vxcyS,2020-09-09,urban
HH_myUhH,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_myUhH,HH_myUhH,2020-10-27,rural
HH_vWfgF,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_vWfgF,HH_vWfgF,2021-04-25,rural
HH_aIl2e,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_aIl2e,HH_aIl2e,2021-03-08,rural
HH_k5EuF,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_k5EuF,HH_k5EuF,2020-09-15,rural
HH_vjbae,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_vjbae,HH_vjbae,2021-05-26,rural
HH_rQiTl,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_rQiTl,HH_rQiTl,2021-08-11,rural
HH_6T6o2,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_6T6o2,HH_6T6o2,2021-01-27,rural
HH_JBsVs,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_JBsVs,HH_JBsVs,2021-03-28,urban
HH_xOs4V,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_xOs4V,HH_xOs4V,2021-06-26,rural
HH_nk2Ew,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_nk2Ew,HH_nk2Ew,2020-10-07,urban
HH_SF5f6,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_SF5f6,HH_SF5f6,2020-12-28,urban
HH_1qCGJ,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_1qCGJ,HH_1qCGJ,2021-08-30,rural
HH_Z3Rx2,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_Z3Rx2,HH_Z3Rx2,2021-02-24,urban
HH_81HD6,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_81HD6,HH_81HD6,2021-01-07,urban
HH_GjmW1,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_GjmW1,HH_GjmW1,2020-09-30,urban
HH_BCGVP,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_BCGVP,HH_BCGVP,2021-08-11,rural
HH_qooa8,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_qooa8,HH_qooa8,2021-04-09,urban
HH_2Kl8R,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_2Kl8R,HH_2Kl8R,2020-10-27,urban
HH_GPXLf,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_GPXLf,HH_GPXLf,2021-06-24,rural
HH_3LZG6,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_3LZG6,HH_3LZG6,2020-10-13,urban
HH_coyS2,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_coyS2,HH_coyS2,2021-05-25,rural
HH_vXk9I,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_vXk9I,HH_vXk9I,2020-11-18,urban
HH_G4awl,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_G4awl,HH_G4awl,2021-04-16,urban
HH_gJQAW,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_gJQAW,HH_gJQAW,2021-07-16,rural
HH_zomOz,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_zomOz,HH_zomOz,2021-08-10,urban
HH_0SxAV,b210ddfd9e9f4f8681ada8e996c06547,b210ddfd9e9f4f8681ada8e996c06547,HH_0SxAV,HH_0SxAV,2021-07-09,urban
