external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_ZInr0,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_ZInr0,HH_ZInr0,2020-11-24,urban
HH_mMN1h,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_mMN1h,HH_mMN1h,2020-11-09,rural
HH_fRHe0,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_fRHe0,HH_fRHe0,2020-12-19,rural
HH_2KdBa,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_2KdBa,HH_2KdBa,2021-07-18,urban
HH_qceFV,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_qceFV,HH_qceFV,2021-08-12,rural
HH_OTBLg,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_OTBLg,HH_OTBLg,2021-06-23,urban
HH_2zAyP,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_2zAyP,HH_2zAyP,2021-08-18,rural
HH_aXjbH,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_aXjbH,HH_aXjbH,2021-07-23,urban
HH_iQhjz,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_iQhjz,HH_iQhjz,2021-07-12,rural
HH_qnp24,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_qnp24,HH_qnp24,2020-12-03,urban
HH_bBBNU,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_bBBNU,HH_bBBNU,2021-05-04,urban
HH_Uuqxf,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_Uuqxf,HH_Uuqxf,2020-09-07,urban
HH_NQfq1,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_NQfq1,HH_NQfq1,2021-06-14,rural
HH_ETwzc,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_ETwzc,HH_ETwzc,2020-12-13,rural
HH_K5JPZ,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_K5JPZ,HH_K5JPZ,2021-01-19,rural
HH_jzOI7,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_jzOI7,HH_jzOI7,2021-04-09,urban
HH_aWZYK,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_aWZYK,HH_aWZYK,2021-03-27,urban
HH_7B7cG,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_7B7cG,HH_7B7cG,2021-05-06,rural
HH_qoNsr,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_qoNsr,HH_qoNsr,2020-11-22,urban
HH_Er2Dd,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_Er2Dd,HH_Er2Dd,2021-06-07,urban
HH_0UwfU,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_0UwfU,HH_0UwfU,2021-07-21,urban
HH_ayxFt,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_ayxFt,HH_ayxFt,2021-08-13,rural
HH_ghXYo,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_ghXYo,HH_ghXYo,2020-09-26,urban
HH_1H7qY,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_1H7qY,HH_1H7qY,2021-06-20,urban
HH_OMYjM,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_OMYjM,HH_OMYjM,2021-05-10,urban
HH_68XfX,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_68XfX,HH_68XfX,2021-02-02,urban
HH_AmXYJ,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_AmXYJ,HH_AmXYJ,2021-07-28,rural
HH_5eFNJ,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_5eFNJ,HH_5eFNJ,2021-05-31,urban
HH_1cS2j,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_1cS2j,HH_1cS2j,2020-10-17,urban
HH_TxJNA,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_TxJNA,HH_TxJNA,2020-12-16,rural
HH_MaOsn,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_MaOsn,HH_MaOsn,2021-08-01,rural
HH_sNfCu,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_sNfCu,HH_sNfCu,2021-01-09,rural
HH_86SBY,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_86SBY,HH_86SBY,2021-07-21,urban
HH_jqoP1,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_jqoP1,HH_jqoP1,2021-03-30,urban
HH_dxiae,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_dxiae,HH_dxiae,2021-07-11,urban
HH_yAAKs,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_yAAKs,HH_yAAKs,2021-07-10,urban
HH_EMwSK,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_EMwSK,HH_EMwSK,2020-12-28,urban
HH_I7NHb,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_I7NHb,HH_I7NHb,2021-02-01,urban
HH_T0tul,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_T0tul,HH_T0tul,2021-05-29,urban
HH_VsHbF,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_VsHbF,HH_VsHbF,2020-11-28,urban
HH_7bXjJ,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_7bXjJ,HH_7bXjJ,2021-07-10,urban
HH_QMpgf,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_QMpgf,HH_QMpgf,2021-01-20,rural
HH_c47uo,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_c47uo,HH_c47uo,2021-01-03,urban
HH_gpQJN,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_gpQJN,HH_gpQJN,2021-01-15,rural
HH_gOo2n,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_gOo2n,HH_gOo2n,2021-05-07,rural
HH_XT6E3,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_XT6E3,HH_XT6E3,2021-02-06,rural
HH_uKtNR,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_uKtNR,HH_uKtNR,2021-02-08,urban
HH_Dt922,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_Dt922,HH_Dt922,2021-08-20,rural
HH_gYOxz,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_gYOxz,HH_gYOxz,2021-03-28,urban
HH_Qrkdd,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_Qrkdd,HH_Qrkdd,2021-08-30,urban
HH_6cv7R,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_6cv7R,HH_6cv7R,2021-02-12,rural
HH_nGpnf,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_nGpnf,HH_nGpnf,2021-06-04,urban
HH_dTjey,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_dTjey,HH_dTjey,2020-11-22,urban
HH_vaOWe,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_vaOWe,HH_vaOWe,2021-03-25,urban
HH_LUDgU,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_LUDgU,HH_LUDgU,2020-10-19,urban
HH_l4aG5,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_l4aG5,HH_l4aG5,2020-10-05,urban
HH_2QGx7,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_2QGx7,HH_2QGx7,2021-07-23,urban
HH_Kfm1K,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_Kfm1K,HH_Kfm1K,2021-04-30,rural
HH_slKWQ,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_slKWQ,HH_slKWQ,2021-07-04,urban
HH_R4PNd,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_R4PNd,HH_R4PNd,2021-04-27,rural
HH_OT4Oj,1b5ffde56e7f47129e81e2c5c3ab61a2,1b5ffde56e7f47129e81e2c5c3ab61a2,HH_OT4Oj,HH_OT4Oj,2021-02-20,urban
