external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_HZqht,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_HZqht,HH_HZqht,2021-01-29,urban
HH_n5g4g,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_n5g4g,HH_n5g4g,2020-11-08,urban
HH_7MwOK,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_7MwOK,HH_7MwOK,2021-07-31,urban
HH_PciqM,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_PciqM,HH_PciqM,2021-03-01,rural
HH_Ox8nd,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_Ox8nd,HH_Ox8nd,2021-06-03,rural
HH_KYLws,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_KYLws,HH_KYLws,2021-08-18,rural
HH_u89dL,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_u89dL,HH_u89dL,2021-07-08,urban
HH_iVxM6,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_iVxM6,HH_iVxM6,2021-07-09,urban
HH_ir3t6,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_ir3t6,HH_ir3t6,2020-10-13,urban
HH_lWsh9,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_lWsh9,HH_lWsh9,2020-11-16,urban
HH_Vtopk,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_Vtopk,HH_Vtopk,2021-01-24,rural
HH_D3BDm,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_D3BDm,HH_D3BDm,2021-05-03,urban
HH_g3ETL,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_g3ETL,HH_g3ETL,2020-09-18,urban
HH_ycRny,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_ycRny,HH_ycRny,2021-08-16,urban
HH_bCeC5,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_bCeC5,HH_bCeC5,2020-11-09,rural
HH_5kHOp,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_5kHOp,HH_5kHOp,2021-07-08,rural
HH_pWA7x,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_pWA7x,HH_pWA7x,2020-11-24,rural
HH_EqxE7,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_EqxE7,HH_EqxE7,2020-10-25,rural
HH_UhCR7,285ddbf3cefd48419ad273e743b47f9c,285ddbf3cefd48419ad273e743b47f9c,HH_UhCR7,HH_UhCR7,2020-11-07,urban
