external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_Pb5yw,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_Pb5yw,HH_Pb5yw,2021-06-04,rural
HH_4r8Vq,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_4r8Vq,HH_4r8Vq,2020-12-29,rural
HH_JiGq5,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_JiGq5,HH_JiGq5,2021-03-04,rural
HH_UkJYx,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_UkJYx,HH_UkJYx,2020-10-04,urban
HH_S6JgE,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_S6JgE,HH_S6JgE,2021-02-05,rural
HH_gAofh,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_gAofh,HH_gAofh,2020-11-26,urban
HH_G0cW5,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_G0cW5,HH_G0cW5,2021-08-21,rural
HH_PdPUw,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_PdPUw,HH_PdPUw,2021-07-23,urban
HH_MNkS6,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_MNkS6,HH_MNkS6,2021-08-31,urban
HH_gexHY,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_gexHY,HH_gexHY,2021-06-17,urban
HH_IYPsI,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_IYPsI,HH_IYPsI,2021-07-21,urban
HH_D4lgE,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_D4lgE,HH_D4lgE,2020-09-13,urban
HH_JRSwp,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_JRSwp,HH_JRSwp,2021-06-12,urban
HH_HO119,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_HO119,HH_HO119,2021-04-10,urban
HH_X9hrl,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_X9hrl,HH_X9hrl,2021-07-22,rural
HH_SOhEk,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_SOhEk,HH_SOhEk,2021-03-12,urban
HH_WxwFa,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_WxwFa,HH_WxwFa,2020-10-11,urban
HH_SzIlS,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_SzIlS,HH_SzIlS,2020-12-27,rural
HH_Abzkr,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_Abzkr,HH_Abzkr,2020-09-13,rural
HH_XDWKd,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_XDWKd,HH_XDWKd,2021-01-13,rural
HH_51XJ4,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_51XJ4,HH_51XJ4,2020-11-28,rural
HH_ijNf1,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_ijNf1,HH_ijNf1,2021-03-02,rural
HH_stb6v,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_stb6v,HH_stb6v,2021-06-19,urban
HH_3f0pW,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_3f0pW,HH_3f0pW,2021-02-16,rural
HH_PaYmH,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_PaYmH,HH_PaYmH,2021-06-01,urban
HH_cDCNn,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_cDCNn,HH_cDCNn,2020-11-20,rural
HH_NEII9,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_NEII9,HH_NEII9,2021-03-05,urban
HH_ILBwR,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_ILBwR,HH_ILBwR,2021-04-16,rural
HH_2PKZQ,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_2PKZQ,HH_2PKZQ,2020-10-26,rural
HH_GbW6O,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_GbW6O,HH_GbW6O,2021-01-28,rural
HH_hMICT,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_hMICT,HH_hMICT,2021-08-05,rural
HH_3JIF3,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_3JIF3,HH_3JIF3,2020-09-03,urban
HH_M9jFf,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_M9jFf,HH_M9jFf,2021-01-14,urban
HH_hL6zg,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_hL6zg,HH_hL6zg,2021-07-14,urban
HH_KBvCa,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_KBvCa,HH_KBvCa,2021-03-12,rural
HH_fc7kT,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_fc7kT,HH_fc7kT,2021-02-25,urban
HH_G2uAe,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_G2uAe,HH_G2uAe,2021-05-18,rural
HH_RddDT,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_RddDT,HH_RddDT,2020-10-12,rural
HH_KV4G2,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_KV4G2,HH_KV4G2,2020-09-01,urban
HH_QyeqN,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_QyeqN,HH_QyeqN,2021-03-22,urban
HH_aIQrj,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_aIQrj,HH_aIQrj,2021-01-11,rural
HH_cWPHv,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_cWPHv,HH_cWPHv,2021-06-07,rural
HH_PGZnF,4589e374e5584bb7badddc2c22a8b184,4589e374e5584bb7badddc2c22a8b184,HH_PGZnF,HH_PGZnF,2021-02-01,urban
