external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_I0qPD,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_I0qPD,HH_I0qPD,2020-10-01,rural
HH_olqgE,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_olqgE,HH_olqgE,2021-06-07,urban
HH_dtpJX,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_dtpJX,HH_dtpJX,2021-06-23,rural
HH_wHko0,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_wHko0,HH_wHko0,2020-12-28,urban
HH_hEtws,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_hEtws,HH_hEtws,2021-04-08,urban
HH_qIdDv,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_qIdDv,HH_qIdDv,2020-12-08,rural
HH_0j6WA,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_0j6WA,HH_0j6WA,2021-04-20,urban
HH_YFKz1,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_YFKz1,HH_YFKz1,2021-04-26,rural
HH_qYWrW,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_qYWrW,HH_qYWrW,2020-10-20,rural
HH_ELtM2,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_ELtM2,HH_ELtM2,2021-01-15,urban
HH_fKVHM,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_fKVHM,HH_fKVHM,2020-11-30,rural
HH_mUWYE,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_mUWYE,HH_mUWYE,2021-04-30,urban
HH_AMZYp,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_AMZYp,HH_AMZYp,2021-03-08,rural
HH_NOUQh,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_NOUQh,HH_NOUQh,2020-11-01,urban
HH_q7Ens,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_q7Ens,HH_q7Ens,2020-12-27,rural
HH_VNPp9,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_VNPp9,HH_VNPp9,2020-11-06,rural
HH_uDSjd,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_uDSjd,HH_uDSjd,2021-03-07,rural
HH_3dHs4,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_3dHs4,HH_3dHs4,2021-06-23,rural
HH_EHqQq,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_EHqQq,HH_EHqQq,2021-04-21,urban
HH_tq84r,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_tq84r,HH_tq84r,2021-04-18,urban
HH_iGOT0,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_iGOT0,HH_iGOT0,2020-09-18,urban
HH_NOK6P,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_NOK6P,HH_NOK6P,2021-03-12,rural
HH_rZCj7,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_rZCj7,HH_rZCj7,2020-10-26,rural
HH_xCpkF,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_xCpkF,HH_xCpkF,2021-05-09,rural
HH_Bokvv,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_Bokvv,HH_Bokvv,2021-03-18,rural
HH_pB7qC,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_pB7qC,HH_pB7qC,2021-08-14,urban
HH_8Qave,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_8Qave,HH_8Qave,2021-06-30,urban
HH_uZI0D,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_uZI0D,HH_uZI0D,2020-09-20,rural
HH_F0FQC,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_F0FQC,HH_F0FQC,2020-11-28,rural
HH_PT4KH,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_PT4KH,HH_PT4KH,2020-10-12,urban
HH_B6uEg,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_B6uEg,HH_B6uEg,2021-01-11,rural
HH_V7bPK,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_V7bPK,HH_V7bPK,2021-01-29,urban
HH_185c7,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_185c7,HH_185c7,2021-06-24,urban
HH_e6hNt,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_e6hNt,HH_e6hNt,2020-10-18,rural
HH_ZJQIB,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_ZJQIB,HH_ZJQIB,2021-01-03,urban
HH_ee0BO,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_ee0BO,HH_ee0BO,2020-12-31,rural
HH_hNGqS,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_hNGqS,HH_hNGqS,2020-10-13,rural
HH_TZrNo,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_TZrNo,HH_TZrNo,2021-07-10,urban
HH_V6RsF,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_V6RsF,HH_V6RsF,2020-09-12,urban
HH_kOE9z,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_kOE9z,HH_kOE9z,2021-07-19,rural
HH_jm0QA,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_jm0QA,HH_jm0QA,2021-05-24,rural
HH_3eiH5,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_3eiH5,HH_3eiH5,2021-02-27,rural
HH_guIO4,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_guIO4,HH_guIO4,2021-03-06,urban
HH_TH92I,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_TH92I,HH_TH92I,2020-10-24,urban
HH_kq6QN,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_kq6QN,HH_kq6QN,2020-10-22,rural
HH_lF4oP,4b658208b5dd496590bc9c60d90aac15,4b658208b5dd496590bc9c60d90aac15,HH_lF4oP,HH_lF4oP,2021-01-25,urban
