external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_3q70a,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_3q70a,HH_3q70a,2021-05-02,rural
HH_nDdgh,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_nDdgh,HH_nDdgh,2021-03-28,rural
HH_KTD3v,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_KTD3v,HH_KTD3v,2021-01-24,urban
HH_oq8Gc,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_oq8Gc,HH_oq8Gc,2021-03-20,urban
HH_soS1y,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_soS1y,HH_soS1y,2021-06-09,rural
HH_GZgy0,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_GZgy0,HH_GZgy0,2021-08-29,urban
HH_7zmYT,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_7zmYT,HH_7zmYT,2021-08-22,urban
HH_KmDAj,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_KmDAj,HH_KmDAj,2021-01-20,rural
HH_Mrnxc,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_Mrnxc,HH_Mrnxc,2020-11-04,urban
HH_88VrF,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_88VrF,HH_88VrF,2020-10-01,urban
HH_DU0TC,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_DU0TC,HH_DU0TC,2021-08-07,rural
HH_nWCC1,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_nWCC1,HH_nWCC1,2021-03-27,urban
HH_479QC,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_479QC,HH_479QC,2020-12-16,urban
HH_s1Biv,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_s1Biv,HH_s1Biv,2020-12-06,urban
HH_NGdKh,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_NGdKh,HH_NGdKh,2021-08-02,urban
HH_W6iay,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_W6iay,HH_W6iay,2020-11-29,rural
HH_VKT1Y,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_VKT1Y,HH_VKT1Y,2020-11-25,urban
HH_P16jM,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_P16jM,HH_P16jM,2021-07-03,rural
HH_zmyvA,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_zmyvA,HH_zmyvA,2021-05-30,urban
HH_Zk5RU,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_Zk5RU,HH_Zk5RU,2021-05-24,urban
HH_KU14A,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_KU14A,HH_KU14A,2021-01-06,urban
HH_d6sPZ,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_d6sPZ,HH_d6sPZ,2021-02-14,rural
HH_n8boG,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_n8boG,HH_n8boG,2020-12-28,rural
HH_zA7VA,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_zA7VA,HH_zA7VA,2020-12-01,rural
HH_Fheq7,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_Fheq7,HH_Fheq7,2021-03-21,rural
HH_wQlIF,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_wQlIF,HH_wQlIF,2021-07-12,urban
HH_3ksHV,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_3ksHV,HH_3ksHV,2021-07-29,rural
HH_B4aQQ,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_B4aQQ,HH_B4aQQ,2021-07-15,urban
HH_I3g6d,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_I3g6d,HH_I3g6d,2021-04-14,urban
HH_V6UMP,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_V6UMP,HH_V6UMP,2021-02-17,rural
HH_jxnUw,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_jxnUw,HH_jxnUw,2021-07-29,urban
HH_P1eDR,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_P1eDR,HH_P1eDR,2021-05-28,urban
HH_ktv3G,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_ktv3G,HH_ktv3G,2021-03-10,rural
HH_Y1Y03,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_Y1Y03,HH_Y1Y03,2021-05-07,urban
HH_ItWPf,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_ItWPf,HH_ItWPf,2020-10-20,urban
HH_VhAz4,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_VhAz4,HH_VhAz4,2021-02-02,urban
HH_sHlvB,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_sHlvB,HH_sHlvB,2021-05-13,urban
HH_501pY,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_501pY,HH_501pY,2020-10-28,rural
HH_OxCcN,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_OxCcN,HH_OxCcN,2021-07-07,rural
HH_ypP6R,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_ypP6R,HH_ypP6R,2021-06-01,urban
HH_yBwHz,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_yBwHz,HH_yBwHz,2021-03-14,urban
HH_g3O3L,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_g3O3L,HH_g3O3L,2020-12-25,urban
HH_gJ2UZ,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_gJ2UZ,HH_gJ2UZ,2021-01-22,urban
HH_1dTCm,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_1dTCm,HH_1dTCm,2021-04-12,rural
HH_8xB8G,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_8xB8G,HH_8xB8G,2021-02-08,rural
HH_6TqYa,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_6TqYa,HH_6TqYa,2020-09-02,rural
HH_gpEiE,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_gpEiE,HH_gpEiE,2021-02-28,rural
HH_dPVF6,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_dPVF6,HH_dPVF6,2021-07-08,rural
HH_tezwY,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_tezwY,HH_tezwY,2020-12-08,rural
HH_h6yhT,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_h6yhT,HH_h6yhT,2020-10-16,urban
HH_vvB0z,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_vvB0z,HH_vvB0z,2021-06-10,rural
HH_tYyMl,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_tYyMl,HH_tYyMl,2021-02-04,urban
HH_cwgpS,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_cwgpS,HH_cwgpS,2021-06-09,urban
HH_zPOc8,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_zPOc8,HH_zPOc8,2020-10-11,urban
HH_0KHRg,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_0KHRg,HH_0KHRg,2020-12-03,rural
HH_QimTt,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_QimTt,HH_QimTt,2021-06-23,rural
HH_sx8ZW,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_sx8ZW,HH_sx8ZW,2020-09-14,rural
HH_GIeZW,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_GIeZW,HH_GIeZW,2020-11-14,urban
HH_iOmZk,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_iOmZk,HH_iOmZk,2021-08-10,rural
HH_TLVYq,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_TLVYq,HH_TLVYq,2021-04-02,urban
HH_2d4pi,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_2d4pi,HH_2d4pi,2021-04-26,urban
HH_8H8Yl,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_8H8Yl,HH_8H8Yl,2021-03-22,urban
HH_nQ6Jp,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_nQ6Jp,HH_nQ6Jp,2021-02-14,urban
HH_PXqxa,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_PXqxa,HH_PXqxa,2021-02-09,rural
HH_PQP6j,5f6cd922037f4aa6998d05ef45d3feb1,5f6cd922037f4aa6998d05ef45d3feb1,HH_PQP6j,HH_PQP6j,2020-11-29,rural
