external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_olmSP,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_olmSP,HH_olmSP,2021-07-10,rural
HH_AQss7,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_AQss7,HH_AQss7,2021-01-06,rural
HH_LipYH,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_LipYH,HH_LipYH,2020-12-28,urban
HH_znqvF,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_znqvF,HH_znqvF,2020-10-24,rural
HH_TtyTP,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_TtyTP,HH_TtyTP,2021-03-23,rural
HH_R17Sb,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_R17Sb,HH_R17Sb,2020-11-13,rural
HH_A256B,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_A256B,HH_A256B,2021-05-25,urban
HH_PiiEK,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_PiiEK,HH_PiiEK,2020-09-03,rural
HH_skc8O,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_skc8O,HH_skc8O,2021-04-17,urban
HH_ssuoA,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_ssuoA,HH_ssuoA,2021-02-01,rural
HH_6udNF,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_6udNF,HH_6udNF,2021-01-14,urban
HH_bqatU,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_bqatU,HH_bqatU,2020-12-19,rural
HH_v6dX6,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_v6dX6,HH_v6dX6,2021-08-12,urban
HH_pCbWH,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_pCbWH,HH_pCbWH,2021-01-24,urban
HH_aBzsc,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_aBzsc,HH_aBzsc,2021-03-06,urban
HH_G71gY,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_G71gY,HH_G71gY,2020-10-11,urban
HH_WWVj7,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_WWVj7,HH_WWVj7,2021-07-21,rural
HH_CFjWB,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_CFjWB,HH_CFjWB,2020-12-27,rural
HH_oYMGU,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_oYMGU,HH_oYMGU,2021-03-16,urban
HH_5hoxn,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_5hoxn,HH_5hoxn,2020-11-02,rural
HH_3ckD8,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_3ckD8,HH_3ckD8,2021-06-25,rural
HH_eLmcK,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_eLmcK,HH_eLmcK,2021-07-26,rural
HH_v5Ad4,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_v5Ad4,HH_v5Ad4,2021-08-03,urban
HH_vls6R,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_vls6R,HH_vls6R,2021-05-01,urban
HH_l6boN,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_l6boN,HH_l6boN,2020-11-30,rural
HH_9euMh,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_9euMh,HH_9euMh,2021-02-19,rural
HH_pEErR,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_pEErR,HH_pEErR,2021-04-11,urban
HH_q4ZEM,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_q4ZEM,HH_q4ZEM,2021-08-17,rural
HH_D7OJb,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_D7OJb,HH_D7OJb,2021-07-08,rural
HH_UFwP6,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_UFwP6,HH_UFwP6,2021-05-05,urban
HH_Sm3dl,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_Sm3dl,HH_Sm3dl,2021-01-10,urban
HH_xUKvO,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_xUKvO,HH_xUKvO,2020-09-19,urban
HH_0DDBZ,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_0DDBZ,HH_0DDBZ,2020-10-06,rural
HH_i6sBm,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_i6sBm,HH_i6sBm,2021-07-17,rural
HH_CpLAI,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_CpLAI,HH_CpLAI,2021-05-21,urban
HH_AfTPX,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_AfTPX,HH_AfTPX,2020-12-29,rural
HH_EFaUz,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_EFaUz,HH_EFaUz,2021-05-27,urban
HH_qGmCp,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_qGmCp,HH_qGmCp,2020-12-16,urban
HH_wFGio,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_wFGio,HH_wFGio,2020-12-15,rural
HH_aNRP6,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_aNRP6,HH_aNRP6,2021-05-18,rural
HH_KJVkt,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_KJVkt,HH_KJVkt,2020-09-08,urban
HH_kbNug,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_kbNug,HH_kbNug,2021-04-08,rural
HH_Gf5XQ,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_Gf5XQ,HH_Gf5XQ,2020-12-23,urban
HH_kpCeh,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_kpCeh,HH_kpCeh,2021-05-13,rural
HH_FEqBa,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_FEqBa,HH_FEqBa,2021-08-19,rural
HH_6RmwD,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_6RmwD,HH_6RmwD,2021-07-02,urban
HH_7r6RI,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_7r6RI,HH_7r6RI,2020-11-23,urban
HH_wqfOy,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_wqfOy,HH_wqfOy,2021-01-09,rural
HH_ee8yB,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_ee8yB,HH_ee8yB,2021-08-17,urban
HH_AC4aU,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_AC4aU,HH_AC4aU,2021-03-10,urban
HH_9ePni,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_9ePni,HH_9ePni,2021-03-08,rural
HH_IM6IV,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_IM6IV,HH_IM6IV,2021-07-23,urban
HH_A90V1,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_A90V1,HH_A90V1,2020-10-08,urban
HH_NlKWu,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_NlKWu,HH_NlKWu,2020-12-15,rural
HH_nEHjr,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_nEHjr,HH_nEHjr,2021-02-16,urban
HH_zLlZm,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_zLlZm,HH_zLlZm,2021-04-26,urban
HH_7OPhN,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_7OPhN,HH_7OPhN,2021-01-06,rural
HH_Cy2cu,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_Cy2cu,HH_Cy2cu,2020-11-02,rural
HH_Y43Rp,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_Y43Rp,HH_Y43Rp,2020-12-04,rural
HH_d5edv,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_d5edv,HH_d5edv,2020-11-30,urban
HH_p4kbb,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_p4kbb,HH_p4kbb,2020-12-06,urban
HH_uNv8c,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_uNv8c,HH_uNv8c,2020-10-28,rural
HH_hMAlO,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_hMAlO,HH_hMAlO,2020-09-15,urban
HH_rVljJ,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_rVljJ,HH_rVljJ,2021-06-29,rural
HH_Gkd7R,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_Gkd7R,HH_Gkd7R,2021-01-15,urban
HH_iYVhp,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_iYVhp,HH_iYVhp,2020-11-23,rural
HH_lnb5k,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_lnb5k,HH_lnb5k,2020-10-12,rural
HH_lW3oh,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_lW3oh,HH_lW3oh,2021-01-21,urban
HH_wIx60,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_wIx60,HH_wIx60,2021-05-03,urban
HH_XV5CY,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_XV5CY,HH_XV5CY,2021-03-04,rural
HH_pi9V1,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_pi9V1,HH_pi9V1,2021-02-26,urban
HH_X300l,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_X300l,HH_X300l,2021-08-07,rural
HH_0qpsd,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_0qpsd,HH_0qpsd,2021-06-27,urban
HH_C3Q2z,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_C3Q2z,HH_C3Q2z,2020-09-14,urban
HH_5eY5W,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_5eY5W,HH_5eY5W,2021-07-13,rural
HH_GNoj6,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_GNoj6,HH_GNoj6,2020-10-07,urban
HH_D45vs,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_D45vs,HH_D45vs,2021-02-27,urban
HH_0PmYL,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_0PmYL,HH_0PmYL,2021-02-09,rural
HH_r6yhI,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_r6yhI,HH_r6yhI,2021-07-05,rural
HH_bJ7rj,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_bJ7rj,HH_bJ7rj,2021-05-12,rural
HH_aWxo0,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_aWxo0,HH_aWxo0,2021-02-12,urban
HH_v9RcJ,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_v9RcJ,HH_v9RcJ,2020-12-09,rural
HH_Rhg7B,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_Rhg7B,HH_Rhg7B,2021-01-10,urban
HH_j8jiZ,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_j8jiZ,HH_j8jiZ,2021-01-20,rural
HH_JZQBT,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_JZQBT,HH_JZQBT,2021-05-19,urban
HH_kzW0s,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_kzW0s,HH_kzW0s,2021-02-27,urban
HH_x8NWi,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_x8NWi,HH_x8NWi,2021-08-05,urban
HH_T4ucM,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_T4ucM,HH_T4ucM,2020-09-05,rural
HH_6zY7O,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_6zY7O,HH_6zY7O,2020-10-04,rural
HH_0tD4o,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_0tD4o,HH_0tD4o,2021-03-26,urban
HH_GmVmd,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_GmVmd,HH_GmVmd,2021-06-09,urban
HH_JIjTg,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_JIjTg,HH_JIjTg,2020-12-07,urban
HH_QSmeU,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_QSmeU,HH_QSmeU,2021-01-06,urban
HH_AqqFL,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_AqqFL,HH_AqqFL,2020-09-26,urban
HH_GVpou,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_GVpou,HH_GVpou,2021-04-11,urban
HH_aSzFe,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_aSzFe,HH_aSzFe,2021-08-23,urban
HH_2Qcby,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_2Qcby,HH_2Qcby,2020-11-17,urban
HH_O5RdE,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_O5RdE,HH_O5RdE,2021-07-11,urban
HH_OLpWx,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_OLpWx,HH_OLpWx,2021-03-09,rural
HH_fY3xC,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_fY3xC,HH_fY3xC,2021-07-10,urban
HH_FcKxu,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_FcKxu,HH_FcKxu,2020-12-14,rural
HH_yMRpW,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_yMRpW,HH_yMRpW,2020-10-03,rural
HH_Q0Y1f,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_Q0Y1f,HH_Q0Y1f,2021-03-31,urban
HH_4dhnI,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_4dhnI,HH_4dhnI,2020-09-02,rural
HH_CEj14,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_CEj14,HH_CEj14,2020-11-28,urban
HH_3QS4e,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_3QS4e,HH_3QS4e,2021-06-25,rural
HH_3eynW,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_3eynW,HH_3eynW,2021-06-25,urban
HH_9ijTI,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_9ijTI,HH_9ijTI,2020-12-13,rural
HH_mgXzn,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_mgXzn,HH_mgXzn,2021-04-29,urban
HH_qUnlU,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_qUnlU,HH_qUnlU,2021-03-09,urban
HH_P4jsy,6ad035a9fd784599ad9490236ec55cd1,6ad035a9fd784599ad9490236ec55cd1,HH_P4jsy,HH_P4jsy,2020-09-27,urban
