external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_diog7,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_diog7,HH_diog7,2021-02-27,rural
HH_JmcEZ,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_JmcEZ,HH_JmcEZ,2021-01-25,urban
HH_WUOwo,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_WUOwo,HH_WUOwo,2021-03-25,rural
HH_Hd4jz,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_Hd4jz,HH_Hd4jz,2020-09-29,urban
HH_Rkzkd,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_Rkzkd,HH_Rkzkd,2020-11-15,rural
HH_OF9dm,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_OF9dm,HH_OF9dm,2021-06-21,urban
HH_CYwgk,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_CYwgk,HH_CYwgk,2021-04-20,rural
HH_7eoZQ,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_7eoZQ,HH_7eoZQ,2021-05-31,rural
HH_aDI0U,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_aDI0U,HH_aDI0U,2021-01-09,urban
HH_BnbCj,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_BnbCj,HH_BnbCj,2020-10-23,rural
HH_7oGsm,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_7oGsm,HH_7oGsm,2021-04-26,urban
HH_zS4tc,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_zS4tc,HH_zS4tc,2021-06-28,urban
HH_XlAZt,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_XlAZt,HH_XlAZt,2021-05-23,rural
HH_qZWaJ,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_qZWaJ,HH_qZWaJ,2021-07-26,urban
HH_nscFc,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_nscFc,HH_nscFc,2020-11-28,urban
HH_TPFo6,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_TPFo6,HH_TPFo6,2020-10-03,urban
HH_S5C7K,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_S5C7K,HH_S5C7K,2020-10-03,rural
HH_6yMsy,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_6yMsy,HH_6yMsy,2021-01-20,urban
HH_GRcYh,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_GRcYh,HH_GRcYh,2021-08-04,rural
HH_LbsaR,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_LbsaR,HH_LbsaR,2020-11-03,urban
HH_G9SRH,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_G9SRH,HH_G9SRH,2021-06-02,rural
HH_VCf3K,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_VCf3K,HH_VCf3K,2020-12-08,rural
HH_zhZfV,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_zhZfV,HH_zhZfV,2020-10-11,rural
HH_9kX08,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_9kX08,HH_9kX08,2021-02-12,rural
HH_ZNL6g,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_ZNL6g,HH_ZNL6g,2020-10-20,urban
HH_jUnVT,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_jUnVT,HH_jUnVT,2020-12-10,rural
HH_SULZt,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_SULZt,HH_SULZt,2021-05-24,rural
HH_Nqxxf,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_Nqxxf,HH_Nqxxf,2021-06-05,rural
HH_oMAYu,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_oMAYu,HH_oMAYu,2020-10-30,rural
HH_SMENJ,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_SMENJ,HH_SMENJ,2021-02-28,urban
HH_b4WC2,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_b4WC2,HH_b4WC2,2021-07-06,urban
HH_KSr2f,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_KSr2f,HH_KSr2f,2021-08-19,rural
HH_DosBM,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_DosBM,HH_DosBM,2020-11-08,rural
HH_EdoC0,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_EdoC0,HH_EdoC0,2021-04-08,rural
HH_SX4Eh,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_SX4Eh,HH_SX4Eh,2020-09-04,rural
HH_fd2j5,705da41078f040008558403880beae08,705da41078f040008558403880beae08,HH_fd2j5,HH_fd2j5,2021-06-25,urban
