external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_MDdZr,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_MDdZr,HH_MDdZr,2021-05-29,rural
HH_NmCCj,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_NmCCj,HH_NmCCj,2020-11-09,urban
HH_O823h,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_O823h,HH_O823h,2021-04-13,urban
HH_wv3IU,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_wv3IU,HH_wv3IU,2021-03-24,rural
HH_47sOU,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_47sOU,HH_47sOU,2021-04-19,urban
HH_PmamA,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_PmamA,HH_PmamA,2020-12-30,urban
HH_Kh2Cu,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_Kh2Cu,HH_Kh2Cu,2021-04-14,urban
HH_vvXMH,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_vvXMH,HH_vvXMH,2021-01-23,rural
HH_zmfRj,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_zmfRj,HH_zmfRj,2020-12-13,rural
HH_gQLX8,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_gQLX8,HH_gQLX8,2021-07-11,rural
HH_7suLC,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_7suLC,HH_7suLC,2021-05-09,rural
HH_oCaVT,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_oCaVT,HH_oCaVT,2021-05-20,urban
HH_TAMgz,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_TAMgz,HH_TAMgz,2021-08-16,rural
HH_KR6QZ,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_KR6QZ,HH_KR6QZ,2021-03-26,urban
HH_zGy7Y,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_zGy7Y,HH_zGy7Y,2020-10-24,rural
HH_cbUPL,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_cbUPL,HH_cbUPL,2020-10-21,urban
HH_ohjQT,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_ohjQT,HH_ohjQT,2021-06-29,urban
HH_ePMDE,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_ePMDE,HH_ePMDE,2021-08-23,urban
HH_OEeBA,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_OEeBA,HH_OEeBA,2020-10-07,rural
HH_X4n5f,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_X4n5f,HH_X4n5f,2021-03-03,rural
HH_hLZt9,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_hLZt9,HH_hLZt9,2020-09-28,urban
HH_t8ATo,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_t8ATo,HH_t8ATo,2020-12-30,urban
HH_b3gL5,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_b3gL5,HH_b3gL5,2020-11-12,rural
HH_A7VjV,ae90532c080d4f7b9933e792eaf0c43b,ae90532c080d4f7b9933e792eaf0c43b,HH_A7VjV,HH_A7VjV,2021-01-12,urban
