external_id,owner_id,vaccination_centre_id,household_name,case_name,household_date_of_registration,household_area_urban_rural
HH_2lOin,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_2lOin,HH_2lOin,2021-01-15,urban
HH_n9ytF,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_n9ytF,HH_n9ytF,2020-12-14,rural
HH_MRhMv,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_MRhMv,HH_MRhMv,2021-03-08,urban
HH_2DJyO,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_2DJyO,HH_2DJyO,2021-04-29,urban
HH_1TxFl,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_1TxFl,HH_1TxFl,2020-10-02,urban
HH_JpYph,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_JpYph,HH_JpYph,2021-08-30,urban
HH_ZoQSk,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_ZoQSk,HH_ZoQSk,2021-05-27,urban
HH_Yfo7n,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_Yfo7n,HH_Yfo7n,2021-07-06,rural
HH_5N0zy,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_5N0zy,HH_5N0zy,2021-07-16,urban
HH_nHqLx,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_nHqLx,HH_nHqLx,2021-08-02,urban
HH_CSZXL,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_CSZXL,HH_CSZXL,2020-10-15,rural
HH_mkp1t,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_mkp1t,HH_mkp1t,2021-01-22,urban
HH_rXPCx,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_rXPCx,HH_rXPCx,2021-04-14,rural
HH_GFsQa,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_GFsQa,HH_GFsQa,2021-03-12,urban
HH_3qm42,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_3qm42,HH_3qm42,2021-04-26,urban
HH_g0KvJ,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_g0KvJ,HH_g0KvJ,2021-03-17,urban
HH_fbQ8G,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_fbQ8G,HH_fbQ8G,2020-12-29,rural
HH_bk0qb,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_bk0qb,HH_bk0qb,2021-06-27,urban
HH_MENGx,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_MENGx,HH_MENGx,2021-08-09,rural
HH_AVnEj,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_AVnEj,HH_AVnEj,2021-07-29,rural
HH_FWQYC,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_FWQYC,HH_FWQYC,2020-10-14,urban
HH_DrxEP,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_DrxEP,HH_DrxEP,2021-01-01,urban
HH_lmT4I,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_lmT4I,HH_lmT4I,2021-08-19,urban
HH_YAEsh,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_YAEsh,HH_YAEsh,2021-06-05,rural
HH_Bo5Sf,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_Bo5Sf,HH_Bo5Sf,2021-06-07,rural
HH_9JShU,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_9JShU,HH_9JShU,2021-04-27,rural
HH_qEvAr,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_qEvAr,HH_qEvAr,2020-11-22,rural
HH_ShX2Q,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_ShX2Q,HH_ShX2Q,2021-08-17,urban
HH_0bVf1,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_0bVf1,HH_0bVf1,2021-04-27,urban
HH_WgDxR,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_WgDxR,HH_WgDxR,2020-12-15,urban
HH_ieVei,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_ieVei,HH_ieVei,2021-03-03,rural
HH_PuBzF,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_PuBzF,HH_PuBzF,2020-10-07,rural
HH_288g7,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_288g7,HH_288g7,2020-11-08,urban
HH_QVulW,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_QVulW,HH_QVulW,2020-12-06,rural
HH_yLIcC,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_yLIcC,HH_yLIcC,2021-05-26,rural
HH_xqCVl,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_xqCVl,HH_xqCVl,2021-04-15,rural
HH_KdHEL,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_KdHEL,HH_KdHEL,2021-08-16,urban
HH_igFhY,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_igFhY,HH_igFhY,2020-11-26,urban
HH_5pQwQ,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_5pQwQ,HH_5pQwQ,2020-11-14,urban
HH_knluS,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_knluS,HH_knluS,2020-12-25,urban
HH_mcSlX,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_mcSlX,HH_mcSlX,2020-10-23,urban
HH_ZpS73,ca1c973427564967a65b689c80caedb3,ca1c973427564967a65b689c80caedb3,HH_ZpS73,HH_ZpS73,2021-03-28,rural
